id	980a
unige:1	Article scientifique
unige:2	Article scientifique
unige:3	Article scientifique
unige:4	Article scientifique
unige:5	Article scientifique
unige:6	Article scientifique
unige:7	Article scientifique
unige:8	Article scientifique
unige:9	Article scientifique
unige:10	Article scientifique
unige:11	Article scientifique
unige:12	Article scientifique
unige:13	Article scientifique
unige:14	Article scientifique
unige:15	Article scientifique
unige:16	Article scientifique
unige:17	Article scientifique
unige:18	Article scientifique
unige:19	Article scientifique
unige:20	Article scientifique
unige:21	Article scientifique
unige:22	Article scientifique
unige:23	Article scientifique
unige:24	Article scientifique
unige:25	Article scientifique
unige:26	Article scientifique
unige:27	Article scientifique
unige:28	Article scientifique
unige:29	Article scientifique
unige:30	Article scientifique
unige:31	Article scientifique
unige:32	Article scientifique
unige:33	Article scientifique
unige:34	Article scientifique
unige:35	Article scientifique
unige:36	Article scientifique
unige:37	Article scientifique
unige:38	Article scientifique
unige:40	Article scientifique
unige:41	Article scientifique
unige:42	Article scientifique
unige:43	Article scientifique
unige:44	Article scientifique
unige:45	Article scientifique
unige:46	Article scientifique
unige:47	Article scientifique
unige:48	Article scientifique
unige:49	Article scientifique
unige:50	Article scientifique
unige:51	Article scientifique
unige:52	Article scientifique
unige:53	Article scientifique
unige:54	Article scientifique
unige:55	Article scientifique
unige:57	Article scientifique
unige:58	Article scientifique
unige:59	Article scientifique
unige:61	Article scientifique
unige:62	Article scientifique
unige:63	Article scientifique
unige:64	Article scientifique
unige:65	Article scientifique
unige:66	Article scientifique
unige:67	Article scientifique
unige:68	Article scientifique
unige:69	Article scientifique
unige:70	Article scientifique
unige:71	Article scientifique
unige:72	Article scientifique
unige:73	Article scientifique
unige:74	Article scientifique
unige:75	Article scientifique
unige:76	Article scientifique
unige:77	Article scientifique
unige:78	Thèse
unige:79	Thèse
unige:80	Thèse
unige:81	Thèse
unige:82	Thèse
unige:83	Thèse
unige:84	Thèse
unige:85	Thèse
unige:86	Thèse
unige:87	Thèse
unige:88	Thèse
unige:89	Thèse
unige:90	Thèse
unige:91	Thèse
unige:92	Thèse
unige:93	Thèse
unige:94	Thèse
unige:95	Thèse
unige:96	Thèse
unige:97	Thèse
unige:98	Thèse
unige:99	Thèse
unige:100	Thèse
unige:101	Thèse
unige:102	Thèse
unige:103	Thèse
unige:104	Thèse
unige:105	Thèse
unige:106	Thèse
unige:107	Thèse
unige:108	Thèse
unige:109	Thèse
unige:110	Thèse
unige:111	Thèse
unige:112	Thèse
unige:113	Thèse
unige:114	Thèse
unige:115	Thèse
unige:116	Thèse
unige:117	Thèse
unige:118	Thèse
unige:119	Thèse
unige:120	Thèse
unige:121	Thèse
unige:122	Thèse
unige:123	Thèse
unige:124	Thèse
unige:125	Thèse
unige:126	Thèse
unige:127	Thèse
unige:128	Thèse
unige:129	Thèse
unige:130	Thèse
unige:131	Thèse
unige:132	Thèse
unige:133	Thèse
unige:134	Thèse
unige:135	Thèse
unige:136	Thèse
unige:137	Thèse
unige:138	Thèse
unige:139	Thèse
unige:140	Thèse
unige:141	Thèse
unige:142	Thèse
unige:143	Thèse
unige:144	Thèse
unige:145	Thèse
unige:146	Thèse
unige:147	Thèse
unige:148	Thèse
unige:149	Thèse
unige:150	Thèse
unige:151	Thèse
unige:152	Thèse
unige:153	Thèse
unige:154	Thèse
unige:155	Thèse
unige:156	Thèse
unige:157	Thèse
unige:158	Thèse
unige:159	Thèse
unige:160	Thèse
unige:161	Thèse
unige:162	Thèse
unige:163	Thèse
unige:164	Thèse
unige:165	Thèse
unige:166	Thèse
unige:167	Thèse
unige:168	Thèse
unige:169	Thèse
unige:170	Thèse
unige:171	Thèse
unige:172	Thèse
unige:173	Thèse
unige:174	Thèse
unige:175	Thèse
unige:176	Thèse
unige:177	Thèse
unige:178	Thèse
unige:179	Thèse
unige:180	Thèse
unige:181	Thèse
unige:182	Thèse
unige:183	Thèse
unige:184	Thèse
unige:185	Thèse
unige:186	Thèse
unige:187	Thèse
unige:188	Thèse
unige:189	Thèse
unige:190	Thèse
unige:191	Thèse
unige:192	Thèse
unige:193	Thèse
unige:194	Thèse
unige:195	Thèse
unige:196	Thèse
unige:197	Thèse
unige:198	Thèse
unige:199	Thèse
unige:200	Thèse
unige:201	Thèse
unige:202	Thèse
unige:203	Thèse
unige:1010	Article scientifique
unige:1011	Article scientifique
unige:1012	Article scientifique
unige:1013	Article scientifique
unige:1014	Article scientifique
unige:1015	Article scientifique
unige:1016	Article scientifique
unige:1017	Article scientifique
unige:1018	Article scientifique
unige:1020	Article scientifique
unige:1021	Article scientifique
unige:1022	Preprint
unige:1023	Preprint
unige:1024	Preprint
unige:1025	Preprint
unige:1026	Preprint
unige:1027	Preprint
unige:1028	Preprint
unige:1029	Article scientifique
unige:1030	Article scientifique
unige:1031	Article scientifique
unige:1032	Article scientifique
unige:1033	Article scientifique
unige:1034	Article scientifique
unige:1035	Article scientifique
unige:1036	Article scientifique
unige:1037	Article scientifique
unige:1038	Article scientifique
unige:1039	Article scientifique
unige:1040	Article scientifique
unige:1041	Article scientifique
unige:1042	Article scientifique
unige:1043	Article scientifique
unige:1044	Article scientifique
unige:1045	Article scientifique
unige:1046	Article scientifique
unige:1047	Article scientifique
unige:1048	Article scientifique
unige:1049	Article scientifique
unige:1050	Article scientifique
unige:1051	Article scientifique
unige:1052	Article scientifique
unige:1053	Article scientifique
unige:1054	Article scientifique
unige:1055	Article scientifique
unige:1056	Article scientifique
unige:1057	Article scientifique
unige:1058	Article scientifique
unige:1059	Article scientifique
unige:1060	Article scientifique
unige:1061	Article scientifique
unige:1062	Article scientifique
unige:1063	Article scientifique
unige:1064	Article scientifique
unige:1065	Article scientifique
unige:1066	Article scientifique
unige:1067	Article scientifique
unige:1068	Article scientifique
unige:1069	Article scientifique
