id	doi
unige:1	10.1016/j.ijpharm.2007.09.007
unige:2	10.1039/b714861e
unige:3	10.1016/j.ejpb.2007.06.020
unige:4	10.1002/jps.20829
unige:5	10.1007/s11095-007-9429-7
unige:6	10.1016/j.chroma.2007.12.021
unige:7	10.1039/b716488b
unige:8	10.1002/chir.20439
unige:9	10.1002/chem.200701520
unige:10	10.1002/jssc.200700537
unige:11	10.1021/la7021352
unige:12	10.1016/j.chroma.2008.03.034
unige:13	10.1016/j.ejpb.2007.09.021
unige:14	10.1016/j.ejpb.2007.08.001
unige:15	10.1128/AAC.01372-07
unige:16	10.1016/j.clinbiochem.2008.02.014
unige:17	10.1002/elps.200700464
unige:18	10.1016/j.bbamcr.2008.02.006
unige:19	10.1038/cdd.2008.9
unige:20	10.1016/j.cell.2008.04.031
unige:21	10.1038/sj.cdd.4402280
unige:22	10.1021/jp800627e
unige:23	10.1103/PhysRevLett.100.210503
unige:24	10.1103/PhysRevLett.100.220404
unige:25	10.1002/chir.20441
unige:26	10.1021/jo702392q
unige:27	10.1002/poc.1297
unige:30	10.1021/jp709587x
unige:31	10.1016/j.jallcom.2007.04.121
unige:32	10.1016/j.tet.2007.11.056
unige:35	10.1088/1751-8113/41/5/055302
unige:36	10.1103/PhysRevA.77.012504
unige:37	10.1088/1367-2630/10/2/023027
unige:42	10.1039/b715380e
unige:43	10.1002/cav.221
unige:45	10.1021/ja074044k
unige:46	10.1016/j.aca.2008.02.053
unige:47	10.1002/jssc.200700577
unige:48	10.1002/ange.200703749
unige:49	10.1002/elan.200704067
unige:52	10.4000/rga.409
unige:55	10.3917/poeti.154.0183
unige:57	10.1016/j.ijpharm.2007.10.054
unige:59	10.1103/PhysRevB.77.125111
unige:61	10.1093/chromsci/46.3.199
unige:64	10.1039/b714853d
unige:65	10.1021/om701153t
unige:66	10.1063/1.2920188
unige:67	10.1021/ja800847j
unige:68	10.1021%2Fja0771890
unige:69	10.1021/ja077322o
unige:72	10.1002/ange.200800203
unige:73	10.1002/zaac.200700594
unige:74	10.1016/j.cplett.2008.02.088
unige:77	10.1021/ja0772290
unige:78	10.13097/archive-ouverte/unige:78
unige:79	10.13097/archive-ouverte/unige:79
unige:80	10.13097/archive-ouverte/unige:80
unige:81	10.13097/archive-ouverte/unige:81
unige:82	10.13097/archive-ouverte/unige:82
unige:83	10.13097/archive-ouverte/unige:83
unige:84	10.13097/archive-ouverte/unige:84
unige:85	10.13097/archive-ouverte/unige:85
unige:86	10.13097/archive-ouverte/unige:86
unige:87	10.13097/archive-ouverte/unige:87
unige:88	10.13097/archive-ouverte/unige:88
unige:89	10.13097/archive-ouverte/unige:89
unige:90	10.13097/archive-ouverte/unige:90
unige:91	10.13097/archive-ouverte/unige:91
unige:92	10.13097/archive-ouverte/unige:92
unige:93	10.13097/archive-ouverte/unige:93
unige:94	10.13097/archive-ouverte/unige:94
unige:95	10.13097/archive-ouverte/unige:95
unige:96	10.13097/archive-ouverte/unige:96
