id	DOI_AOU	DOI
unige:100745	10.1371/journal.pone.0219476	10.1371/JOURNAL.PONE.0219476
unige:100745	10.1371/journal.pone.0190297	10.1371/JOURNAL.PONE.0190297
unige:104871	10.1007/s00134-018-5149-1	10.1007/S00134-018-5149-1
unige:104871	10.1007/s00134-018-5185-x	10.1007/S00134-018-5185-X
unige:107799	10.1038/s41477-018-0150-9	10.1038/S41477-018-0150-9
unige:107799	10.1038/s41477-018-0244-4	10.1038/S41477-018-0244-4
unige:112563	10.1038/s41436-018-0325-9	10.1038/S41436-018-0325-9
unige:112563	10.1038/s41436-018-0060-2	10.1038/S41436-018-0060-2
unige:112563	10.1038/s41436-018-0284-1	10.1038/S41436-018-0284-1
unige:113449	10.1039/c7np00064b	10.1039/C7NP00064B
unige:113449	10.1039/c8np90041h	10.1039/C8NP90041H
unige:116072	10.1016/j.clinph.2018.01.009	10.1016/J.CLINPH.2018.01.009
unige:116072	10.1016/j.clinph.2019.02.006	10.1016/J.CLINPH.2019.02.006
unige:127125	10.1038/s41409-019-0520-6	10.1038/S41409-019-0520-6
unige:127125	10.1038/s41409-020-0862-0	10.1038/S41409-020-0862-0
unige:128490	10.1111/cea.13177	10.1111/CEA.13177
unige:128490	10.1111/cea.13239	10.1111/CEA.13239
unige:128771	10.1371/journal.pone.0195916	10.1371/JOURNAL.PONE.0195916
unige:128771	10.1371/journal.pone.0190480	10.1371/JOURNAL.PONE.0190480
unige:135507	10.1371/journal.pone.0214549	10.1371/JOURNAL.PONE.0214549
unige:135507	10.1371/journal.pone.0253678	10.1371/JOURNAL.PONE.0253678
unige:138787	10.3233/VES-200701	10.3233/VES-200701
unige:138787	10.3233/VES-229001	10.3233/VES-229001
unige:140169	10.1038/s42255-020-0238-1	10.1038/S42255-020-0238-1
unige:140169	10.1038/s42255-020-00283-6	10.1038/S42255-020-00283-6
unige:142255	10.1007/s40123-020-00284-4	10.1007/S40123-020-00284-4
unige:142255	10.1007/s40123-019-0204-8	10.1007/S40123-019-0204-8
unige:142709	10.1186/s13601-019-0299-y	10.1186/S13601-019-0299-Y
unige:142709	10.1186/s13601-020-00344-9	10.1186/S13601-020-00344-9
unige:145511	10.1093/ofid/ofz330	10.1093/OFID/OFZ330
unige:145511	10.1093/ofid/ofz500	10.1093/OFID/OFZ500
unige:149076	10.1038/s41541-020-0179-4	10.1038/S41541-020-0179-4
unige:149076	10.1038/s41541-020-00244-w	10.1038/S41541-020-00244-W
unige:151586	10.1007/s00259-020-05120-2	10.1007/S00259-020-05120-2
unige:151586	10.1007/s00259-021-05549-z	10.1007/S00259-021-05549-Z
unige:151754	10.1007/s00787-021-01767-w	10.1007/S00787-021-01767-W
unige:151754	10.1007/s00787-021-01801-x	10.1007/S00787-021-01801-X
unige:151793	10.1007/s00330-020-07572-4	10.1007/S00330-020-07572-4
unige:151793	10.1007/s00330-021-07795-z	10.1007/S00330-021-07795-Z
unige:151803	10.1007/s10334-019-00790-y	10.1007/S10334-019-00790-Y
unige:151803	10.1007/s10334-020-00828-6	10.1007/S10334-020-00828-6
unige:156423	10.1186/s13756-020-00810-w	10.1186/S13756-020-00810-W
unige:156423	10.1186/s13756-020-00779-6	10.1186/S13756-020-00779-6
unige:156650	10.1038/s41409-020-0981-7	10.1038/S41409-020-0981-7
unige:156650	10.1038/s41409-020-01012-z	10.1038/S41409-020-01012-Z
unige:156761	10.3390/cells10082086	10.3390/CELLS10082086
unige:156761	10.3390/cells12242857	10.3390/CELLS12242857
unige:157030	10.1007/978-94-007-4528-5_19	10.1007/978-94-007-4528-5_19
unige:157030	10.1007/978-94-007-4528-5_31	10.1007/978-94-007-4528-5_31
unige:157848	10.1186/s12909-021-03053-4	10.1186/S12909-021-03053-4
unige:157848	10.1186/s12909-022-03307-9	10.1186/S12909-022-03307-9
unige:158691	10.1055/s-0042-101899	10.1055/S-0042-101899
unige:158691	10.1055/s-0043-100769	10.1055/S-0043-100769
unige:158715	10.1055/a-0833-5712	10.1055/A-0833-5712
unige:158715	10.1055/a-0884-5474	10.1055/A-0884-5474
unige:159854	10.1016/j.clnu.2021.02.042	10.1016/J.CLNU.2021.02.042
unige:159854	10.1016/j.clnu.2020.08.028	10.1016/J.CLNU.2020.08.028
unige:160209	10.1080/00309230.2022.2052732	10.1080/00309230.2022.2052732
