	index	funder
0	Swiss National Science Foundation	8333
1	European Commission	1336
2	Autre	1303
3	Wellcome Trust	92
4	UK Research and Innovation	90
5	Medical Research Council	80
6	European Research Council	61
7	NIGMS NIH HHS	58
8	French National Research Agency (ANR)	48
9	NHLBI NIH HHS	45
10	NIA NIH HHS	37
11	Fundação para a Ciência e a Tecnologia, I.P.	37
12	FNS	36
13	Cancer Research UK	32
14	National Institutes of Health	28
15	SNSF	26
16	NIDDK NIH HHS	26
17	NICHD NIH HHS	25
18	Deutsche Forschungsgemeinschaft	25
19	Swiss Cancer League	23
20	National Science Foundation	23
21	World Health Organization	21
22	National Health and Medical Research Council (NHMRC)	20
23	NIH HHS	18
24	Biotechnology and Biological Sciences Research Council	18
25	The Francis Crick Institute	18
26	University of Geneva	17
27	Geneva University Hospitals	16
28	NINDS NIH HHS	16
29	Australian Research Council (ARC)	15
30	Academy of Finland	15
31	National Institute for Health Research (NIHR)	15
32	NCI NIH HHS	15
33	NCATS NIH HHS	14
34	Private Foundation of Geneva University Hospitals	13
35	Swiss Cancer Research Foundation	12
36	Howard Hughes Medical Institute	11
37	NIBIB NIH HHS	11
38	Velux foundation	11
39	Swiss Cancer Research	11
40	NIH	11
41	NIMH NIH HHS	10
42	CIHR	10
43	Dutch Research Council (NWO)	9
44	NCRR NIH HHS	8
45	European Molecular Biology Laboratory	8
46	NIAID NIH HHS	8
47	Université de Genève	8
48	Fondation Leenaards	8
49	Fondation Pôle Autisme	7
50	Fondation Ernst et Lucie Schmidheiny	7
51	ZonMw	7
52	Agence Nationale de la Recherche	7
53	National Institute of General Medical Sciences	7
54	National Natural Science Foundation of China	7
55	European Molecular Biology Organization	7
56	Bill and Melinda Gates Foundation	7
57	Israel Science Foundation	6
58	Human Frontier Science Program	6
59	German Research Foundation	6
60	Pfizer	6
61	Versus Arthritis	6
62	Hôpitaux Universitaires de Genève	6
63	NHGRI NIH HHS	6
64	Swiss HIV Cohort Study	6
65	Austrian Science Fund FWF	6
66	Private Foundation of the Geneva University Hospitals	5
67	NIDA NIH HHS	5
68	Swiss Heart Foundation	5
69	NIAMS NIH HHS	5
70	Federal Office of Public Health	5
71	Bill & Melinda Gates Foundation	5
72	Innosuisse	5
73	Francis Crick Institute	5
74	Fonds National Suisse	5
75	Leenaards Foundation	5
76	Horizon 2020	4
77	Canadian Institutes of Health Research	4
78	Science Foundation Ireland	4
79	German Research Foundation (DFG)	4
80	China Scholarship Council	4
81	Italian Ministry of Health	4
82	Fondation privée des HUG	4
83	Novartis StiftungÂ fÃ¼rÂ Medizinisch-Biologische Forschung	4
84	AbbVie	4
85	Novartis Foundation	4
86	Agence nationale de la recherche	4
87	Swiss Federal Office of Energy	4
88	Max-Planck-Gesellschaft	4
89	Schmidheiny foundation	4
90	Engineering and Physical Sciences Research Council	4
91	Fonds national suisse (FNS)	4
92	Velux Stiftung	4
93	Bundesministerium fÃ¼r Bildung und Forschung	4
94	Fondation Privée des HUG	4
95	Department of Health	4
96	Novo Nordisk Fonden	4
97	Novartis	4
98	Office of Naval Research	4
99	State of Geneva	4
100	Eunice Kennedy Shriver National Institute of Child Health and Human Development	4
101	Geneva Cancer League	4
102	British Heart Foundation	4
103	Velux Foundation	3
104	University Hospital of Geneva	3
105	Swiss Centre for Applied Human Toxicology	3
106	Intramural NIH HHS	3
107	Gottfried und Julia Bangerter-Rhyner-Stiftung	3
108	Swiss National Foundation	3
109	FNRS	3
110	Louis-Jeantet Foundation	3
111	SystemsX.ch	3
112	Republic and Canton of Geneva	3
113	Bernard Wolfe Health Neuroscience Fund	3
114	Agence Nationale de la Recherche (French National Research Agency)	3
115	ZonMw programme Evidence-based Medicine in Old age	3
116	Innovative Medicines Initiative	3
117	GE Healthcare	3
118	Spanish Ministry of Science and Innovation, ISCIII	3
119	VINNOVA	3
120	Swiss National Research Foundation	3
121	Economic and Social Research Council	3
122	National Key Research and Development Program of China	3
123	Spanish Ministry of Economy and Competitiveness	3
124	Swiss National Science Foundation (SNSF)	3
125	Fondation Privée des Hôpitaux Universitaires de Genève	3
126	Czech Science Foundation	3
127	Max Planck Society	3
128	National Cancer Institute	3
129	Ligue Genevoise contre le cancer	3
130	SNF	3
131	Damon Runyon Cancer Research Foundation	3
132	Agencia Nacional de Promoción de la Investigación, el Desarollo Tecnológico y la Innovación of Argentina	3
133	Federal Ministry of Education and Research	3
134	Royal Society	3
135	Schweizerische Herzstiftung	3
136	Alzheimer's Association	3
137	SHCS Research Foundation	3
138	Claraz Foundation	2
139	Canada Research Chairs	2
140	UniversitÃ© de GenÃ¨ve	2
141	DOE	2
142	Generalitat de Catalunya	2
143	Schweizerische Multiple Sklerose Gesellschaft	2
144	ETH Zurich	2
145	Bertarelli Foundation	2
146	EPFL	2
147	Swedish Research Council	2
148	National Key R&D Program of China	2
149	Susan G Komen Foundation	2
150	U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences	2
151	Medical Direction of University Hospitals of Geneva	2
152	Fonds national de la recherche scientifique	2
153	Canton of Geneva and the Service Industriels de Genève	2
154	Austrian Academy of Sciences	2
155	Fonds National Suisse de la recherche scientifique	2
156	University of Lausanne	2
157	The Netherlands Organisation for Health Research and Development	2
158	Italian Ministry of Education, University and Research 	2
159	European Academy of Dermatology and Venereology	2
160	Research Foundation Flanders	2
161	Aetas foundation	2
162	NEI NIH HHS	2
163	Leona M. and Harry B. Helmsley Charitable Trust	2
164	Spanish Ministry of Science and Innovation	2
165	Schweizerisch-Liechtensteinische Stiftung für archäologische Forschungen im Ausland (SLSA)	2
166	Australian Research Council	2
167	Foundation of the Geneva University Hospital	2
168	National Institutes of Health Office of Research Infrastructure Programs	2
169	U.S. Department of Health &amp; Human Services | NIH | Eunice Kennedy Shriver National Institute of Child Health and Human Development	2
170	Shota Rustaveli National Science Foundation	2
171	Krebsliga Schweiz	2
172	Janssen Research and Development	2
173	National Heart, Lung, and Blood Institute	2
174	Swiss Cancer Research foundation	2
175	HHMI	2
176	Canton of Geneva	2
177	Centers for Disease Control and Prevention	2
178	Research Fund Haematology Cantonal Hospital Lucerne	2
179	BLRD VA	2
180	Ligue Genevoise Contre le Cancer	2
181	Israel Science Foundation (ISF)	2
182	Natural Sciences and Engineering Research Council of Canada	2
183	Minderoo Foundation	2
184	ANR	2
185	American Cancer Society	2
186	Memorabel grants from Deltaplan Dementie	2
187	EMBO	2
188	Ligue Pulmonaire Genevoise	2
189	Natural Environment Research Council	2
190	Russian Science Foundation	2
191	National Council for Science and Technological Development	2
192	Repubblica e Cantone Ticino	2
193	NIDCR NIH HHS	2
194	Ligue Pulmonaire Suisse	2
195	Netherlands Organisation for Health Research and Development	2
196	Academy of Medical Sciences	2
197	Tehran University of Medical Sciences	2
198	System of Incentives for the Production of Scientific and Technological Knowledge in the Auton-omous Region of Madeira-PROCiÃªncia 2020	2
199	Ministry of Science, Education and Sports of the Republic of Croatia (MSES)	2
200	Ministry of Education, Science and Technological Development of Republic of Serbia	2
201	Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada	2
202	Ernst and Lucy Schmidheiny Foundation	2
203	European Federation of Pharmaceutical Industries and Associations	2
204	Institut National du Cancer	2
205	US National Cancer Institute	2
206	VELUX Foundation	2
207	NIHR Cambridge Biomedical Research Centre	2
208	Fondation Francis & Marie-France Minkoff	2
209	KTI	2
210	Japan Science and Technology Corporation	2
211	ViiV Healthcare	2
212	Ernst and Lucie Schmidheiny Foundation	2
213	Swiss Cancer Research Foundation and the Swiss Cancer League	2
214	Rossy Family Foundation	2
215	Alzheimer's Society	2
216	National Institute for Health Research Cambridge Biomedical Research Centre	2
217	EMBL	2
218	Qatar national research fund	2
219	Fondation Ancrage Bienfaisance du Groupe Pictet	2
220	Schmidheiny Foundation	2
221	Fondation Pole Autisme	2
222	Narodowe Centrum Nauki	2
223	Multiple Sclerosis Society	2
224	GE healthcare	2
225	Fonds National de la Recherche Luxembourg	2
226	Canadian Institute of Health Research (CIHR) 	2
227	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	2
228	Swiss National Centre of Competence in Research LIVES - Overcoming vulnerability: life course perspectives, which is funded by the Swiss National Science Foundation	2
229	AIRC	2
230	Japan Science and Technology Agency	2
231	Volkswagen Foundation	2
232	Bial Foundation	2
233	The Schmidheiny Foundation	2
234	Gilead Sciences	2
235	National Institute of Health	2
236	LARSyS-Portuguese national funding agency for science, research, and technology (FCT) pluri-annual funding 2020-2023	2
237	SWISS NATIONAL SCIENCE FOUNDATION	2
238	Stichting voor Fundamenteel Onderzoek der Materie	2
239	Gordon and Betty Moore Foundation	2
240	Government of Spain	2
241	Polish Swiss Research Programme	2
242	Long Term EMBO Fellowships	2
243	Hungarian National Research	2
244	Netherlands Organisation for Scientific Research (NWO)	2
245	German Federal Ministry of Education and Research	2
246	National Human Genome Research Institute	2
247	NINR NIH HHS	2
248	Children with Cancer UK	2
249	Square Point Capital	1
250	SHCS research foundation and the Swiss Federal Office for Public Health	1
251	Herchel-Smith Fund	1
252	Ferring SA	1
253	Flanders Research Foundation	1
254	Spanish ministre of science and innovation	1
255	European Cooperation in Science and Technology (COST)	1
256	Georg Waechter Memorial Foundation	1
257	Association Frédéric Fellay	1
258	Clinical Research Centre, Geneva University Hospitals	1
259	UK Aid from the UK Government	1
260	Université de Fribourg	1
261	Medical Directorate of Geneva University Hospitals	1
262	Royal Swedish Academy of Sciences	1
263	National Institute of Child Health and Human Development	1
264	Ministerio de Ciencia, InnovaciÃ³n y Universidades	1
265	Junta de AndalucÃ­a	1
266	CellFusion	1
267	Deutsche Forschungsgemeinschaft (German Research Foundation)	1
268	Estonian Research Council	1
269	Fonds de développement de la Direction des soins HUG	1
270	French Ministry of Health	1
271	Schlumberger Faculty for the Future	1
272	Carigest Foundation	1
273	Washington Research Foundation	1
274	Service de la promotion de l'économie et de l'innovation (SPEI) - Canton Vaud	1
275	Michael J. Fox Foundation for Parkinson&apos;s Research	1
276	Active and Assisted Living programme	1
277	The National Health and Medical Research Council	1
278	Tawani Foundation	1
279	Science and Engineering Research Board	1
280	Instituto de Salud Carlos III	1
281	Sir Jules Thorn Charitable Trust	1
282	BMBF 01EO1003	1
283	Institut National de la Santé Et de la Recherche Médicale (INSERM)	1
284	Deutsche Forschungsgemeinschaft (DFG)	1
285	NCCR Chemical Biology	1
286	Dutch Ministry of Foreign Affairs	1
287	Immanuel Kant Baltic Federal	1
288	Bundesministerium f?r Bildung und Forschung	1
289	French Ministry of Health PHRC Program	1
290	Dioraphte Foundation	1
291	Merck Sharp and Dohme	1
292	European Regional Development Fund	1
293	Ecole Polytechnique Fédérale de Lausanne	1
294	Research Grant Foundation for Scientific Research at the UZH	1
295	Institut de Recherches Servier	1
296	NordForsk	1
297	Fondation de l'Avenir	1
298	Centre for Early Sapience Behaviour	1
299	Swiss National Supercomputing Centre	1
300	Agenzia Italiana del Farmaco, Ministero della Salute	1
301	Novartis StiftungÂ fÃ¼rÂ Medizinisch-Biologische Forschung (Novartis Foundation for Medical-Biological Research)	1
302	APIS-GENE	1
303	Swiss National Science Foundation 	1
304	01EO1503	1
305	La Ligue Contre le Cancer	1
306	Bourse d'excellence de la confédération	1
307	Canton of Zurich	1
308	Technology Agency of the Czech Republic	1
309	Italian Minister of Health	1
310	French ministry of health	1
311	Groupement Romand de la Société Suisse de Gynécologie	1
312	FundaciÃ³n EspaÃ±ola para la Ciencia y la TecnologÃ­a (Spanish Foundation for Science and Technology)	1
313	Dutch Ministry of Health and Welfare	1
314	Ministry of Science and Higher Education of the Russian Federation	1
315	Fondation pour l’Innovation sur le Cancer et la Biologie	1
316	Schweizerische Akademie der Medizinischen Wissenschaften	1
317	European 7th Framework 	1
318	Aston	1
319	 Santa Casa da Misericordia de Lisboa, Portugal	1
320	Centre National de la Recherche Scientifique	1
