id	structure
unige:2	Département de chimie minérale, analytique et appliquée
unige:7	Département de chimie organique
unige:8	Département de chimie organique
unige:9	Département de chimie organique
unige:11	Département de chimie minérale, analytique et appliquée
unige:22	Département de chimie physique
unige:23	Groupe de physique appliquée
unige:24	Groupe de physique appliquée
unige:25	Département de chimie organique
unige:26	Département de chimie organique
unige:27	Département de chimie physique
unige:28	Département de droit commercial
unige:29	Département de droit civil
unige:29	Département de droit international privé
unige:30	Département de chimie physique
unige:31	Département de chimie physique
unige:32	Département de chimie physique
unige:33	Département d'histoire de l'art et de musicologie
unige:34	Département de chimie minérale, analytique et appliquée
unige:35	Département de chimie physique
unige:36	Département de chimie physique
unige:37	Groupe de physique appliquée
unige:38	Groupe de physique appliquée
unige:40	Département de droit civil
unige:41	Département de droit du travail et de la sécurité sociale
unige:42	Département de chimie physique
unige:43	Centre universitaire d'informatique
unige:44	Département de droit public
unige:45	Département de chimie organique
unige:48	Département de chimie organique
unige:49	Département de chimie minérale, analytique et appliquée
unige:51	Département de droit civil
unige:51	Département de droit international privé
unige:52	Institut des sciences de l'environnement
unige:52	Faculté d'économie et de management
unige:53	Département de langue et de littérature françaises modernes
unige:54	Département de droit public
unige:55	Département de langue et de littérature françaises modernes
unige:59	Groupe de physique appliquée
unige:62	Département d'études est-asiatiques
unige:63	Département de droit civil
unige:64	Département de chimie physique
unige:65	Département de chimie physique
unige:66	Département de chimie physique
unige:67	Département de chimie physique
unige:68	Département de chimie physique
unige:69	Département de chimie physique
unige:70	Département de chimie physique
unige:71	Département de chimie physique
unige:72	Département de chimie organique
unige:72	Département de chimie physique
unige:73	Département de chimie physique
unige:74	Département de chimie physique
unige:75	Département d'histoire de l'art et de musicologie
unige:76	Département de droit public
unige:77	Département de chimie minérale, analytique et appliquée
unige:78	Centre universitaire d'informatique
unige:78	Département de linguistique
unige:79	Département de langue et de littérature françaises modernes
unige:80	Section des sciences de l'éducation
unige:81	Département de physique nucléaire et corpusculaire
unige:88	Section de psychologie
unige:89	Institut des sciences de l'environnement
unige:89	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:92	Section des sciences de l'éducation
unige:94	Section de mathématiques
unige:96	Section de psychologie
unige:97	Section des sciences de l'éducation
unige:98	Département de chimie physique
unige:101	Section de psychologie
unige:103	Département de physique de la matière quantique
unige:105	Section des sciences de l'éducation
unige:106	Section de psychologie
unige:109	Faculté d'économie et de management
unige:114	Département de chimie organique
unige:115	Département de chimie minérale, analytique et appliquée
unige:116	Section de psychologie
unige:117	Faculté d'économie et de management
unige:119	Centre universitaire d'informatique
unige:119	Département d'informatique
unige:122	Département des sciences de l'antiquité
unige:124	Département de physique nucléaire et corpusculaire
unige:125	Groupe de physique appliquée
unige:142	Section des sciences de l'éducation
unige:143	Section des sciences de l'éducation
unige:146	Section de psychologie
unige:147	Institut des sciences de l'environnement
unige:147	Groupe de physique appliquée
unige:147	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:150	Centre universitaire d'informatique
unige:150	Département d'informatique
unige:151	Département de physique de la matière quantique
unige:152	Section des sciences de l'éducation
unige:155	Département de langue et de littérature anglaises
unige:156	Département d'astronomie
unige:159	Faculté d'économie et de management
unige:168	Département de physique de la matière quantique
unige:170	Section de psychologie
unige:175	Département de science politique et relations internationales
unige:178	Centre universitaire d'informatique
unige:178	Département d'informatique
unige:183	Département de chimie organique
unige:184	Département de géographie et environnement
unige:194	Département des sciences de l'antiquité
unige:197	Faculté d'économie et de management
unige:200	Faculté d'économie et de management
unige:203	Centre universitaire d'informatique
unige:203	Département d'informatique
unige:1021	Département de physique théorique
unige:1022	Département de physique théorique
unige:1023	Département de physique théorique
unige:1024	Département de physique théorique
unige:1025	Département de physique théorique
unige:1026	Département de physique théorique
unige:1027	Département de physique théorique
unige:1028	Département de physique théorique
unige:1035	Section de psychologie
unige:1065	Centre universitaire d'informatique
unige:1065	Département d'informatique
unige:1070	Centre universitaire d'informatique
unige:1070	Département d'informatique
unige:1094	Département de physique théorique
unige:1095	Département de physique théorique
unige:1096	Département de physique théorique
unige:1097	Département de physique théorique
unige:1098	Département de physique théorique
unige:1099	Département de physique théorique
unige:1101	Département de physique théorique
unige:1104	Groupe de physique appliquée
unige:1109	Groupe de physique appliquée
unige:10392	Section de psychologie
unige:10393	Section de psychologie
unige:10394	Section de psychologie
unige:10403	Section des sciences de la Terre et de l'Environnement
unige:10434	Section de psychologie
unige:10460	Département de physique de la matière quantique
unige:167404	Département de droit international privé
unige:167406	Département des sciences de la Terre
unige:167410	Institut d'histoire économique Paul Bairoch
unige:167410	Département d'histoire, économie et société
unige:167412	Département de chimie organique
unige:167413	Département de chimie organique
unige:167414	Département de chimie organique
unige:167415	Département de chimie organique
unige:167418	Institut des sciences de l'environnement
unige:167419	Institut des sciences de l'environnement
unige:167420	Département des sciences de la Terre
unige:167421	Institut des sciences de l'environnement
unige:167422	Institut des sciences de l'environnement
unige:167423	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167425	Institut des sciences de l'environnement
unige:167425	Département des sciences de la Terre
unige:167426	Institut des sciences de l'environnement
unige:167426	Département des sciences de la Terre
unige:167427	Institut des sciences de l'environnement
unige:167427	Département des sciences de la Terre
unige:167428	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167429	Institut des sciences de l'environnement
unige:167429	Département des sciences de la Terre
unige:167430	Groupe de physique appliquée
unige:167436	Département de géographie et environnement
unige:167447	Centre interfacultaire en droits de l'enfant
unige:167449	Département de sociologie
unige:167449	Institut de recherches sociologiques
unige:167449	Institut de démographie et de socioéconomie
unige:167453	Département d'études est-asiatiques
unige:167454	Département de droit international privé
unige:167455	Département de droit international public et organisation internationale
unige:167459	Département des sciences de la Terre
unige:167460	Département de physique nucléaire et corpusculaire
unige:167460	Département de physique de la matière quantique
unige:167461	Département des sciences de la Terre
unige:167462	Département des sciences de la Terre
unige:167482	Département de chimie physique
unige:167483	Institut de la gouvernance de l'environnement et du développement territorial
unige:167485	Département d'interprétation
unige:167486	Institut de recherches sociologiques
unige:167486	Institut des sciences de l'environnement
unige:167486	Département de sociologie
unige:167486	Institut de la gouvernance de l'environnement et du développement territorial
unige:167487	Institut des sciences de l'environnement
unige:167487	Institut de recherches sociologiques
unige:167487	Département de sociologie
unige:167487	Institut de la gouvernance de l'environnement et du développement territorial
unige:167489	Groupe de physique appliquée
unige:167489	Institut des sciences de l'environnement
unige:167491	Département de géographie et environnement
unige:167491	Institut des sciences de l'environnement
unige:167496	Groupe de physique appliquée
unige:167498	Département de traitement informatique multilingue
unige:167506	Section de psychologie
unige:167516	Département des sciences de l'antiquité
unige:167517	Département de philosophie
unige:167518	Section des sciences de l'éducation
unige:167519	Département d'histoire de l'art et de musicologie
unige:167520	Département d'histoire de l'art et de musicologie
unige:167521	Centre interfacultaire en droits de l'enfant
unige:167522	Section des sciences de l'éducation
unige:167523	Section des sciences de l'éducation
unige:167523	Institut universitaire de formation des enseignants
unige:167524	Section des sciences de l'éducation
unige:167524	Institut universitaire de formation des enseignants
unige:167525	Section des sciences de l'éducation
unige:167525	Institut universitaire de formation des enseignants
unige:167526	Section des sciences de l'éducation
unige:167526	Institut universitaire de formation des enseignants
unige:167527	Section des sciences de l'éducation
unige:167527	Institut universitaire de formation des enseignants
unige:167528	Section des sciences de l'éducation
unige:167528	Institut universitaire de formation des enseignants
unige:167529	Section des sciences de l'éducation
unige:167529	Institut universitaire de formation des enseignants
unige:167530	Section des sciences de l'éducation
unige:167530	Institut universitaire de formation des enseignants
unige:167531	Section des sciences de l'éducation
unige:167531	Institut universitaire de formation des enseignants
unige:167532	Section des sciences de l'éducation
unige:167532	Institut universitaire de formation des enseignants
unige:167533	Section des sciences de l'éducation
unige:167533	Institut universitaire de formation des enseignants
unige:167534	Département d'histoire de l'art et de musicologie
unige:167535	Division du système et des technologies de l'information et de la communication
unige:167535	Humanités numériques
unige:167536	Section des sciences de l'éducation
unige:167536	Institut universitaire de formation des enseignants
unige:167537	Section des sciences de l'éducation
unige:167537	Institut universitaire de formation des enseignants
unige:167540	Division du système et des technologies de l'information et de la communication
unige:167540	Humanités numériques
unige:167540	Faculté des sciences
unige:167541	Section des sciences de l'éducation
unige:167541	Institut universitaire de formation des enseignants
unige:167542	Section des sciences de l'éducation
unige:167542	Institut universitaire de formation des enseignants
unige:167543	Département de chimie organique
unige:167544	Département de chimie organique
unige:167545	Département de chimie physique
unige:167550	Section des sciences de l'éducation
unige:167554	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167555	Département de physique de la matière quantique
unige:167556	Département de physique de la matière quantique
unige:167559	Département d'interprétation
unige:167560	Faculté d'économie et de management
unige:167560	Section des sciences de l'éducation
unige:167561	Faculté d'économie et de management
unige:167561	Section des sciences de l'éducation
unige:167562	Section des sciences de l'éducation
unige:167562	Institut universitaire de formation des enseignants
unige:167563	Section des sciences de l'éducation
unige:167563	Institut universitaire de formation des enseignants
unige:167564	Section des sciences de l'éducation
unige:167564	Institut universitaire de formation des enseignants
unige:167565	Groupe de physique appliquée
unige:167580	Département de chimie organique
unige:167581	Département de chimie organique
unige:167582	Département de chimie organique
unige:167598	Département de traduction
unige:167599	Département de traduction
unige:167600	Département de traduction
unige:167601	Département de traduction
unige:167602	Global Studies Institute
unige:167603	Global Studies Institute
unige:167604	Institut d'études de la citoyenneté
unige:167604	Département de science politique et relations internationales
unige:167610	Département de chimie minérale, analytique et appliquée
unige:167614	Département de chimie physique
unige:167615	Département de géographie et environnement
unige:167619	Département de droit civil
unige:167620	Département de droit international public et organisation internationale
unige:167621	Département de droit international public et organisation internationale
unige:167622	Département de droit international public et organisation internationale
unige:167623	Département de droit international public et organisation internationale
unige:167624	Département de droit pénal
unige:167625	Département de droit international public et organisation internationale
unige:167626	Département de droit international public et organisation internationale
unige:167627	Département de droit international public et organisation internationale
unige:167629	Section de psychologie
unige:167630	Section de psychologie
unige:167631	Section de psychologie
unige:167632	Section de psychologie
unige:167633	Section de psychologie
unige:167634	Section de psychologie
unige:167635	Section de psychologie
unige:167636	Section de psychologie
unige:167640	Section de psychologie
unige:167641	Section de psychologie
unige:167642	Section de psychologie
unige:167643	Section de psychologie
unige:167644	Institut de la gouvernance de l'environnement et du développement territorial
unige:167645	Département de géographie et environnement
unige:167646	Section de psychologie
unige:167647	Section de psychologie
unige:167649	Section de psychologie
unige:167651	Département de géographie et environnement
unige:167652	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:167653	Département de sociologie
unige:167653	Institut de la gouvernance de l'environnement et du développement territorial
unige:167653	Institut de recherches sociologiques
unige:167654	Département de sociologie
unige:167654	Institut de la gouvernance de l'environnement et du développement territorial
unige:167654	Institut de recherches sociologiques
unige:167655	Département de sociologie
unige:167655	Institut de la gouvernance de l'environnement et du développement territorial
unige:167655	Institut de recherches sociologiques
unige:167656	Département de sociologie
unige:167656	Institut de la gouvernance de l'environnement et du développement territorial
unige:167656	Institut de recherches sociologiques
unige:167657	Département de sociologie
unige:167657	Institut de la gouvernance de l'environnement et du développement territorial
unige:167657	Institut de recherches sociologiques
unige:167658	Global Studies Institute
unige:167658	Département de science politique et relations internationales
unige:167659	Département d'études est-asiatiques
unige:167660	Département d'études est-asiatiques
unige:167661	Département d'études est-asiatiques
unige:167662	Département d'études est-asiatiques
unige:167672	Département de sociologie
unige:167673	Département de langue et de littérature françaises modernes
unige:167675	Département de droit pénal
unige:167676	Département de droit public
unige:167677	Département de droit public
unige:167678	Département de droit public
unige:167680	Département de géographie et environnement
unige:167680	Institut de la gouvernance de l'environnement et du développement territorial
unige:167681	Institut de la gouvernance de l'environnement et du développement territorial
unige:167681	Département de géographie et environnement
unige:167681	Institut des sciences de l'environnement
unige:167682	Faculté de droit
unige:167684	Faculté de droit
unige:167687	Département de droit public
unige:167688	Département de droit public
unige:167689	Faculté de droit
unige:167690	Institute of Economics and Econometrics
unige:167691	Département d'histoire, économie et société
