id	pmid
unige:1	17997238
unige:2	18092080
unige:3	17884402
unige:4	17497726
unige:5	17985216
unige:6	18177881
unige:7	18253518
unige:8	17600851
unige:9	18067110
unige:10	18306434
unige:11	18072793
unige:12	18395734
unige:13	18023564
unige:14	17826969
unige:15	18195063
unige:16	18358834
unige:17	18409162
unige:18	18339324
unige:19	18259190
unige:20	18485862
unige:21	18084240
unige:22	18341313
unige:23	18518591
unige:24	18643408
unige:25	17614326
unige:26	18076192
unige:46	18395062
unige:1029	18376248
unige:1030	18376300
unige:1031	18377739
unige:1032	18377966
unige:1033	18378206
unige:1034	18380782
unige:1035	18387530
unige:1036	18388327
unige:1037	18388517
unige:1038	18389340
unige:1039	18392654
unige:1040	18295408
unige:1041	18394580
unige:1042	18397738
unige:1043	18400028
unige:1044	18405317
unige:1045	18405321
unige:1046	18406433
unige:1047	18400906
unige:1048	18384574
unige:1049	19174196
unige:1050	18591415
unige:1051	18591588
unige:1052	18592239
unige:1053	18596375
unige:1054	18419743
unige:1055	18409188
unige:1056	18412644
unige:1057	18414142
unige:1058	18419725
unige:1059	18420492
unige:1060	18422668
unige:1061	18423952
unige:1062	18424324
unige:1063	18424701
unige:1064	18426500
unige:1065	18426554
unige:1066	18430772
unige:1067	18433918
unige:1068	18434704
unige:1069	18436452
unige:1070	18436540
unige:1071	18436900
unige:1072	18438918
unige:1073	18445198
unige:1074	18446046
unige:1075	18447888
unige:1076	18448380
unige:1077	18599082
unige:1078	18599561
unige:1079	18604303
unige:1080	18606711
unige:1081	18607608
unige:1082	18448966
unige:1083	18450470
unige:1084	18452171
unige:1085	18454291
unige:1086	18456869
unige:1087	18457581
unige:1088	18458239
unige:1089	18458559
unige:1090	18458586
unige:1091	18460499
unige:1092	18467898
unige:1093	18468995
unige:1102	18471882
unige:1103	18476992
unige:1105	18477944
unige:1106	18481281
unige:1107	18481943
unige:1108	18482397
unige:1110	18607931
unige:1111	18609452
unige:10363	10760298
unige:10364	3467375
unige:10365	7695906
unige:10366	14585594
unige:10367	11075830
unige:10368	8816705
unige:10369	15806402
unige:10370	10512688
unige:10371	15851654
unige:10372	16228980
unige:10373	12440574
unige:10374	13679418
unige:10375	12586424
unige:10376	17105769
unige:10377	9738473
unige:10378	3710990
unige:10379	15548202
unige:10380	12823471
unige:10381	17050711
unige:10382	11558797
unige:10383	18985133
unige:10384	19840035
unige:10385	10213537
unige:10386	15993630
unige:10387	11595034
unige:10388	15725401
unige:10389	19515428
unige:10390	20225193
unige:10391	20373351
unige:10392	15954123
unige:10393	17129194
unige:10394	15054077
unige:10395	17499819
unige:10396	15610183
unige:10397	16102236
unige:10398	15670699
unige:10399	16487729
unige:10400	20233957
unige:10401	19929324
unige:10402	15862215
unige:10403	20026086
unige:10404	17015075
unige:10405	16519662
unige:10406	6655592
unige:10407	11240311
unige:10408	8373049
unige:10409	10074793
unige:10410	12436422
unige:10411	2838619
unige:10412	1297830
unige:10413	3473490
unige:10414	1646297
unige:10415	9439798
unige:10416	2959962
unige:10417	2968452
unige:10418	2531217
unige:10419	2536177
unige:10420	15705722
unige:10421	15845087
unige:10422	17004920
unige:10423	7475228
unige:10424	19939884
unige:10425	11311543
unige:10426	16819977
unige:10427	17611603
unige:10428	20017134
unige:10429	18036083
unige:10430	17567801
unige:10431	14715938
unige:10432	20009053
unige:10433	18088592
unige:10434	16055351
unige:10435	1798027
unige:10436	11498050
unige:10437	12907219
unige:10438	20120615
unige:10439	15548555
unige:10440	14642542
unige:10441	11849612
unige:10442	12446842
unige:10443	15459076
unige:10444	15772915
unige:10445	16457887
unige:10446	10215935
unige:10447	8809799
unige:10448	8951863
unige:10449	15774844
unige:10450	10781288
unige:10451	16037816
unige:10452	20083794
unige:10453	9284065
unige:10454	14584050
unige:10455	12796782
unige:10456	14606953
unige:10457	20148031
unige:10458	11849819
unige:10459	12421196
unige:10460	19257462
unige:10461	9716303
unige:10462	10586883
unige:167403	36173415
unige:167411	15095716
unige:167416	7086903
unige:167417	270727
unige:167421	36210286
unige:167427	34955703
unige:167433	12068969
unige:167434	9819433
unige:167435	9794825
unige:167437	922893
unige:167439	7105181
unige:167440	5684818
unige:167441	6896344
unige:167442	487432
unige:167443	32877100
unige:167446	15544867
unige:167448	15866346
unige:167450	32017403
unige:167451	29369516
unige:167461	34098278
unige:167464	11809812
unige:167465	16675949
unige:167466	1060108
unige:167467	18922474
unige:167468	16455493
unige:167469	8743878
unige:167470	15469830
unige:167471	12535536
unige:167472	12062099
unige:167473	12689587
unige:167474	9524129
unige:167475	29090852
unige:167476	26184671
unige:167477	24403567
unige:167478	23323611
unige:167479	22427555
unige:167480	22776135
unige:167481	18497358
unige:167488	10937148
unige:167490	36730175
unige:167492	36659849
unige:167493	36644906
unige:167494	36608212
unige:167495	36251703
unige:167499	27199672
unige:167500	29432809
unige:167501	28872733
unige:167502	29125184
unige:167503	31051234
unige:167504	32372941
unige:167505	33751673
unige:167507	34857949
unige:167508	36731469
unige:167538	36202617
unige:167539	36807531
unige:167552	36139005
unige:167553	35883436
unige:167554	36702284
unige:167555	36867817
unige:167566	320200
unige:167567	392541
unige:167568	6243775
unige:167570	29044892
unige:167571	36898988
unige:167573	35779984
unige:167574	36034792
unige:167575	7378358
unige:167576	36382976
unige:167577	36818412
unige:167578	36167584
unige:167579	35890321
unige:167589	36796463
unige:167590	36869202
unige:167605	36813762
unige:167609	36572238
unige:167613	277351
unige:167629	35051834
unige:167631	36670293
unige:167633	36684683
unige:167635	36832462
unige:167649	36073767
unige:167683	35461596
unige:167686	8989674
unige:167708	36857068
unige:167712	36902344
unige:167715	36715148
unige:167722	36512922
unige:167732	36094666
unige:167736	26183812
unige:167738	31787120
unige:167742	8617357
unige:167751	36207666
unige:167752	35640105
unige:167753	35446088
unige:167757	8617356
unige:167758	36572132
unige:167759	22648169
unige:167760	36758785
unige:167765	36829945
unige:167769	34349901
unige:167770	34319231
