id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	DOI_AOU	DOI	PMID	AOU	PUBMED	PMID_PUBMED	MERGED_BY_PMID	MERGED_BY_DOI	DATA_PUBMED
unige:100030	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/tri.13104	10.1111/TRI.13104	29210109	1	1	29210109	1	0	1
unige:100030	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/tri.13104	10.1111/TRI.13104	29210109	1	1	29210109	0	1	1
unige:100032	2018	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.clnu.2017.03.023	10.1016/J.CLNU.2017.03.023	28381339	1	1	28381339	0	1	1
unige:100032	2018	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.clnu.2017.03.023	10.1016/J.CLNU.2017.03.023	28381339	1	1	28381339	1	0	1
unige:100035	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.3174/ajnr.A5184	10.3174/AJNR.A5184	28495939	1	1	28495939	0	1	1
unige:100035	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.3174/ajnr.A5184	10.3174/AJNR.A5184	28495939	1	1	28495939	1	0	1
unige:100041	2017	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1242/jcs.200667	10.1242/JCS.200667	29025971	1	1	29025971	1	0	1
unige:100041	2017	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1242/jcs.200667	10.1242/JCS.200667	29025971	1	1	29025971	0	1	1
unige:100042	2017	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1124/pr.115.012062	10.1124/PR.115.012062	28931622	1	1	28931622	1	0	1
unige:100042	2017	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1124/pr.115.012062	10.1124/PR.115.012062	28931622	1	1	28931622	0	1	1
unige:100047	2017	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1371/journal.pone.0175572	10.1371/JOURNAL.PONE.0175572	28419114	1	1	28419114	1	0	1
unige:100047	2017	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1371/journal.pone.0175572	10.1371/JOURNAL.PONE.0175572	28419114	1	1	28419114	0	1	1
unige:100058	2016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1097/j.pain.0000000000000705	10.1097/J.PAIN.0000000000000705	27780181	1	1	27780181	1	0	1
unige:100058	2016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1097/j.pain.0000000000000705	10.1097/J.PAIN.0000000000000705	27780181	1	1	27780181	0	1	1
unige:100061	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.cmi.2017.08.024	10.1016/J.CMI.2017.08.024	28870726	1	1	28870726	1	0	1
unige:100061	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.cmi.2017.08.024	10.1016/J.CMI.2017.08.024	28870726	1	1	28870726	0	1	1
unige:100064	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.micinf.2017.01.005	10.1016/J.MICINF.2017.01.005	28161601	1	1	28161601	1	0	1
unige:100064	2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.micinf.2017.01.005	10.1016/J.MICINF.2017.01.005	28161601	1	1	28161601	0	1	1
unige:100184	2016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.3945/ajcn.116.137125	10.3945/AJCN.116.137125	27733401	1	1	27733401	1	0	1
unige:100184	2016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.3945/ajcn.116.137125	10.3945/AJCN.116.137125	27733401	1	1	27733401	0	1	1
unige:100189	2017	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.nicl.2017.09.006	10.1016/J.NICL.2017.09.006	28971006	1	1	28971006	0	1	1
unige:100189	2017	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/j.nicl.2017.09.006	10.1016/J.NICL.2017.09.006	28971006	1	1	28971006	1	0	1
unige:100203	2017	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.1073/pnas.1706643114	10.1073/PNAS.1706643114	28716905	1	1	28716905	1	0	1
