PMID_PUBMED	DOI_PUBMED_NORM	PUBMED	id	DOI_AOU_NORM	AOU	MERGED_BY_PMID	PMID_AOU	MERGED_BY_DOI
29210109	10.1111/TRI.13104	1	unige:100030	10.1111/TRI.13104	1	1	29210109	0
29210109	10.1111/TRI.13104	1	unige:100030	0	1	0	29210109	1
28381339	10.1016/J.CLNU.2017.03.023	1	unige:100032	10.1016/J.CLNU.2017.03.023	1	1	28381339	0
28381339	10.1016/J.CLNU.2017.03.023	1	unige:100032	0	1	0	28381339	1
28495939	10.3174/AJNR.A5184	1	unige:100035	10.3174/AJNR.A5184	1	1	28495939	0
28495939	10.3174/AJNR.A5184	1	unige:100035	0	1	0	28495939	1
29025971	10.1242/JCS.200667	1	unige:100041	10.1242/JCS.200667	1	1	29025971	0
29025971	10.1242/JCS.200667	1	unige:100041	0	1	0	29025971	1
28931622	10.1124/PR.115.012062	1	unige:100042	10.1124/PR.115.012062	1	1	28931622	0
28931622	10.1124/PR.115.012062	1	unige:100042	0	1	0	28931622	1
28419114	10.1371/JOURNAL.PONE.0175572	1	unige:100047	10.1371/JOURNAL.PONE.0175572	1	1	28419114	0
28419114	10.1371/JOURNAL.PONE.0175572	1	unige:100047	0	1	0	28419114	1
27780181	10.1097/J.PAIN.0000000000000705	1	unige:100058	0	1	0	27780181	1
27780181	10.1097/J.PAIN.0000000000000705	1	unige:100058	10.1097/J.PAIN.0000000000000705	1	1	27780181	0
28870726	10.1016/J.CMI.2017.08.024	1	unige:100061	0	1	0	28870726	1
28870726	10.1016/J.CMI.2017.08.024	1	unige:100061	10.1016/J.CMI.2017.08.024	1	1	28870726	0
28161601	10.1016/J.MICINF.2017.01.005	1	unige:100064	10.1016/J.MICINF.2017.01.005	1	1	28161601	0
28161601	10.1016/J.MICINF.2017.01.005	1	unige:100064	0	1	0	28161601	1
27733401	10.3945/AJCN.116.137125	1	unige:100184	10.3945/AJCN.116.137125	1	1	27733401	0
27733401	10.3945/AJCN.116.137125	1	unige:100184	0	1	0	27733401	1
28971006	10.1016/J.NICL.2017.09.006	1	unige:100189	10.1016/J.NICL.2017.09.006	1	1	28971006	0
28971006	10.1016/J.NICL.2017.09.006	1	unige:100189	0	1	0	28971006	1
28716905	10.1073/PNAS.1706643114	1	unige:100203	10.1073/PNAS.1706643114	1	1	28716905	0
28716905	10.1073/PNAS.1706643114	1	unige:100203	0	1	0	28716905	1
28550190	10.3324/HAEMATOL.2017.170381	1	unige:100208	10.3324/HAEMATOL.2017.170381	1	1	28550190	0
28550190	10.3324/HAEMATOL.2017.170381	1	unige:100208	0	1	0	28550190	1
27567817	10.3233/JAD-160092	1	unige:100216	10.3233/JAD-160092	1	1	27567817	0
27567817	10.3233/JAD-160092	1	unige:100216	0	1	0	27567817	1
27806707	10.1186/S12916-016-0719-Y	1	unige:100217	0	1	0	27806707	1
27806707	10.1186/S12916-016-0719-Y	1	unige:100217	10.1186/S12916-016-0719-Y	1	1	27806707	0
28079535	10.1097/WAD.0000000000000185	1	unige:100218	0	1	0	28079535	1
28079535	10.1097/WAD.0000000000000185	1	unige:100218	10.1097/WAD.0000000000000185	1	1	28079535	0
28326035	10.3389/FNAGI.2017.00050	1	unige:100221	10.3389/FNAGI.2017.00050	1	1	28326035	0
28326035	10.3389/FNAGI.2017.00050	1	unige:100221	0	1	0	28326035	1
28761927	10.1016/J.DADM.2017.05.007	1	unige:100222	10.1016/J.DADM.2017.05.007	1	1	28761927	0
28761927	10.1016/J.DADM.2017.05.007	1	unige:100222	0	1	0	28761927	1
26514230	10.1111/JON.12311	1	unige:100252	10.1111/JON.12311	1	1	26514230	0
26514230	10.1111/JON.12311	1	unige:100252	0	1	0	26514230	1
27020309	10.1016/S1473-3099(16)00077-3	1	unige:100259	0	1	0	27020309	1
27020309	10.1016/S1473-3099(16)00077-3	1	unige:100259	10.1016/S1473-3099(16)00077-3	1	1	27020309	0
27443613	10.1093/INFDIS/JIW254	1	unige:100260	10.1093/INFDIS/JIW254	1	1	27443613	0
27443613	10.1093/INFDIS/JIW254	1	unige:100260	0	1	0	27443613	1
26643939	10.1038/SREP17886	1	unige:100262	10.1038/SREP17886	1	1	26643939	0
26643939	10.1038/SREP17886	1	unige:100262	0	1	0	26643939	1
26933991	10.1108/IJPH-04-2015-0009	1	unige:100263	10.1108/IJPH-04-2015-0009	1	1	26933991	0
26933991	10.1108/IJPH-04-2015-0009	1	unige:100263	0	1	0	26933991	1
27452146	10.1016/J.CMET.2016.06.020	1	unige:100304	0	1	0	27452146	1
27452146	10.1016/J.CMET.2016.06.020	1	unige:100304	10.1016/J.CMET.2016.06.020	1	1	27452146	0
27887679	10.1016/J.ENCEP.2016.10.004	1	unige:100309	10.1016/J.ENCEP.2016.10.004	1	1	27887679	0
27887679	10.1016/J.ENCEP.2016.10.004	1	unige:100309	0	1	0	27887679	1
27618676	10.1016/J.NEURON.2016.08.015	1	unige:100311	0	1	0	27618676	1
27618676	10.1016/J.NEURON.2016.08.015	1	unige:100311	10.1016/J.NEURON.2016.08.015	1	1	27618676	0
27321632	10.1111/JGS.14158	1	unige:100394	10.1111/JGS.14158	1	1	27321632	0
27321632	10.1111/JGS.14158	1	unige:100394	0	1	0	27321632	1
27924932	10.1038/SREP38598	1	unige:100405	0	1	0	27924932	1
27924932	10.1038/SREP38598	1	unige:100405	10.1038/SREP38598	1	1	27924932	0
27702941	10.1093/HMG/DDW334	1	unige:100406	10.1093/HMG/DDW334	1	1	27702941	0
27702941	10.1093/HMG/DDW334	1	unige:100406	0	1	0	27702941	1
27891166	10.1186/S12986-016-0144-4	1	unige:100407	10.1186/S12986-016-0144-4	1	1	27891166	0
27891166	10.1186/S12986-016-0144-4	1	unige:100407	0	1	0	27891166	1
27820928	10.1159/000452477	1	unige:100419	0	1	0	27820928	1
27820928	10.1159/000452477	1	unige:100419	10.1159/000452477	1	1	27820928	0
27816144	10.1016/J.IDC.2016.07.006	1	unige:100423	10.1016/J.IDC.2016.07.006	1	1	27816144	0
27816144	10.1016/J.IDC.2016.07.006	1	unige:100423	0	1	0	27816144	1
28856567	10.1007/S40211-017-0246-X	1	unige:100433	10.1007/S40211-017-0246-X	1	1	28856567	0
28856567	10.1007/S40211-017-0246-X	1	unige:100433	0	1	0	28856567	1
28501886	10.4193/RHIN16.063	1	unige:100520	10.4193/RHIN16.063	1	1	28501886	0
28501886	10.4193/RHIN16.063	1	unige:100520	0	1	0	28501886	1
28670817	10.1111/PETR.13019	1	unige:100534	10.1111/PETR.13019	1	1	28670817	0
28670817	10.1111/PETR.13019	1	unige:100534	0	1	0	28670817	1
28616608	10.21037/TGH.2017.05.07	1	unige:100536	10.21037/TGH.2017.05.07	1	1	28616608	0
28616608	10.21037/TGH.2017.05.07	1	unige:100536	0	1	0	28616608	1
29141230	10.1016/J.CELREP.2017.10.071	1	unige:100537	0	1	0	29141230	1
29141230	10.1016/J.CELREP.2017.10.071	1	unige:100537	10.1016/J.CELREP.2017.10.071	1	1	29141230	0
