id	856_3	856_f	856_u	856_x	856_z	DATA	DATA_TYPE	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER	type	856_domain	856_filetype
unige:167403	Dataset	0	https://clinicaltrials.gov/ct2/show/NCT01575834	0	0	1	shared data	2022	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	CLINICALTRIALS.GOV	
unige:167507	Dataset	0	https://zenodo.org/record/5564893#.ZAmuDISZOMo	0	0	1	shared data	2021	1	0	1	0	0	0	0	0	0	1	1	1	Article scientifique	ZENODO.ORG	
unige:167704	Dataset	0	https://redgold.hypotheses.org/2155	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Article professionnel	REDGOLD.HYPOTHESES.ORG	
unige:167758	Dataset	0	https://yareta.unige.ch/home/detail/d32eb8bb-17ed-44a1-b1e6-f0ae8a3e0461	0	0	1	shared data	2023	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	YARETA.UNIGE.CH	
unige:167770	Dataset	0	https://www.plumed-nest.org/eggs/21/027/	0	0	1	shared data	2021	1	0	0	0	1	0	0	0	0	0	0	0	Article scientifique	PLUMED-NEST.ORG	
unige:167783	Dataset	0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190658	0	0	1	shared data	2023	1	0	1	1	0	0	0	0	0	1	1	0	Article scientifique	NCBI.NLM.NIH.GOV	
unige:167783	Dataset	0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?&acc=GSE193912	0	0	1	shared data	2023	1	0	1	1	0	0	0	0	0	1	1	0	Article scientifique	NCBI.NLM.NIH.GOV	
unige:167783	Dataset	0	https://github.com/georgeallenunige/NotTranslation	0	0	1	shared data	2023	1	0	1	1	0	0	0	0	0	1	1	0	Article scientifique	GITHUB.COM	
unige:167783	Dataset	0	https://doi.org/10.5281/zenodo.5150443	0	0	1	shared data	2023	1	0	1	1	0	0	0	0	0	1	1	0	Article scientifique	DOI.ORG/10.5281	
unige:167870	Dataset	0	http://www.ires.fr/index.php/publications/chronique-internationale-de-l-ires/item/6650-suisse-renonciation-a-l-enregistrement-du-temps-de-travail-quelles-mesures-de-protection-de-la-sante	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	IRES.FR	
unige:167884	Dataset	0	https://cdn-links.lww.com/permalink/ico/b/ico_2021_02_18_kymionis_1_sdc1.mp4	0	0	1	shared data	2022	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	CDN-LINKS.LWW.COM	
unige:168028	Dataset	0	https://archive-ouverte.unige.ch/unige:157834	0	0	1	shared data	2022	0	0	0	0	0	0	0	0	0	0	0	0	Working paper	ARCHIVE-OUVERTE.UNIGE.CH	
unige:168062	Dataset	0	https://doi.org/10.5281/zenodo.7509571	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.5281	
unige:168071	Dataset	0	https://doi.org/10.5061/dryad.ngf1vhhvp	0	0	1	shared data	2023	1	0	1	0	0	0	0	0	1	1	1	0	Article scientifique	DOI.ORG/10.5061	
unige:168114	Dataset	0	https://transbordeur.ch/fr/2023/guillaume-le-gall-aquariorama/	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	TRANSBORDEUR.CH	
unige:168196	Dataset	0	https://doi.org/10.1080/09658211.2023.2191901	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.1080	
unige:168258	Dataset	0	https://doi.org/10.5281/zenodo.7691859	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	1	1	1	Article scientifique	DOI.ORG/10.5281	
unige:168300	Dataset	0	http://www.dapi.ch/these	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Thèse	DAPI.CH	
unige:168304	Dataset	0	https://doi.org/10.5281/zenodo.7245446	0	0	1	shared data	2022	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.5281	
unige:168311	Dataset	0	https://clinicaltrials.gov/ct2/show/NCT04464603	0	0	1	shared data	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	CLINICALTRIALS.GOV	
unige:168339	Dataset	0	https://doi.org/10.3390/cancers15061881	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.3390	
unige:168345	Dataset	0	https://www.rcsb.org/structure/8A4Y	0	0	1	shared data	2022	1	0	0	0	1	0	0	0	0	1	1	0	Article scientifique	RCSB.ORG	
unige:168349	Dataset	0	https://pubs.acs.org/doi/10.1021/acs.jcim.2c01142.	0	0	1	shared data	2022	1	0	0	0	1	0	0	0	0	1	1	0	Article scientifique	PUBS.ACS.ORG	
unige:168392	Dataset	0	https://link.springer.com/article/10.1007/s00445-023-01643-2#Sec27	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	LINK.SPRINGER.COM	
unige:168393	Dataset	0	https://doi.org/10.26037/yareta:pn7f26ulenhoxlfvtlsf7n3u4q	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.26037	
unige:168439	Dataset	0	https://journals.aps.org/prl/supplemental/10.1103/PhysRevLett.128.231102/SM-Daily-He-Tables.pdf	0	0	1	shared data	2022	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	JOURNALS.APS.ORG	
unige:168526	Dataset	0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180268	0	0	1	shared data	2021	1	1	1	0	0	0	0	0	0	1	1	0	Article scientifique	NCBI.NLM.NIH.GOV	
unige:168574	Dataset	0	https://clinicaltrials.gov/ct2/show/NCT01908283	0	0	1	shared data	2021	1	1	0	0	0	0	0	0	0	1	1	0	Article scientifique	CLINICALTRIALS.GOV	
unige:168607	Dataset	0	https://onlinelibrary.wiley.com/doi/10.1002/cre2.464	0	0	1	shared data	2023	1	0	0	0	0	0	1	0	0	0	0	0	Thèse	ONLINELIBRARY.WILEY.COM	
unige:168612	Dataset	0	https://doi.org/10.5281/zenodo.7534770	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.5281	
unige:168612	Dataset	0	https://doi.org/10.13026/f4ab-0814	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.13026	
unige:168612	Dataset	0	https://github.com/hturbe/InterpretTime	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	GITHUB.COM	
unige:168612	Dataset	0	https://doi.org/10.5281/zenodo.7560836	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	DOI.ORG/10.5281	
unige:168637	Dataset	0	https://journals.aps.org/prl/supplemental/10.1103/PhysRevLett.130.161001/SM-Daily-e-Tables-REV.pdf	0	0	1	shared data	2023	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	JOURNALS.APS.ORG	
unige:168790	Dataset	0	https://adni.loni.usc.edu/	0	0	1	shared data	2023	1	1	0	0	0	0	0	0	1	0	0	0	Article scientifique	ADNI.LONI.USC.EDU	
unige:168796	Dataset	0	https://doi.org/10.5281/zenodo.5376087	0	0	1	shared data	2021	1	1	0	0	0	0	0	0	0	1	1	0	Article scientifique	DOI.ORG/10.5281	
unige:168796	Dataset	0	https://github.com/eamico	0	0	1	shared data	2021	1	1	0	0	0	0	0	0	0	1	1	0	Article scientifique	GITHUB.COM	
unige:168801	Dataset	0	https://c4science.ch/source/iCAPs/	0	0	1	shared data	2021	1	1	0	0	0	0	0	0	0	1	1	1	Article scientifique	C4SCIENCE.CH	
unige:168804	Dataset	0	https://doi.org/10.5281/zenodo.5614586	0	0	1	shared data	2022	1	1	0	0	0	0	0	0	0	1	0	1	Article scientifique	DOI.ORG/10.5281	
