id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	DOI	PMID	AOU	PUBMED	DATA_PUBMED	OPENALEX	DOI_OPENALEX	ID_OPENALEX	is_oa	oa_status	date_openalex	PMID_OPENALEX
unige:43442	2016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1177/0962280212464542	23117409	1	1	0	0					0	0
unige:36639	2016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1177/0962280212469716	23267027	1	1	0	0					0	0
unige:34302	2015	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S10103-013-1337-Y	23660738	1	1	1	0					0	0
unige:89732	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.JALZ.2013.03.001	23706515	1	1	0	0					0	0
unige:31354	2015	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/GER.12079	24128078	1	1	1	0					0	0
unige:40603	2015	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/CERCOR/BHT297	24152544	1	1	1	0					0	0
unige:89571	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1177/1359105313502695	24155186	1	1	1	0					0	0
unige:35946	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S10903-013-9939-9	24186358	1	1	1	0					0	0
unige:84325	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.2174/15701611113116660161	24188490	1	1	0	0					0	0
unige:40228	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.3109/14397595.2013.844392	24252003	1	1	1	0					0	0
unige:90305	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/CERCOR/BHT323	24293562	1	1	1	0					0	0
unige:77870	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1136/ANNRHEUMDIS-2013-203803	24326007	1	1	1	0					0	0
unige:46013	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1136/ANNRHEUMDIS-2013-204078	24356672	1	1	1	0					0	0
unige:48162	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1017/S1047951113002151	24382023	1	1	1	0					0	0
unige:55085	2015	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1097/MPH.0000000000000107	24390443	1	1	0	0					0	0
unige:35808	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/EIP.12120	24428891	1	1	1	0					0	0
unige:45944	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1136/ANNRHEUMDIS-2013-203993	24442884	1	1	1	0					0	0
unige:45610	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.1002/MRM.25099	24478117	1	1	1	0					0	0
unige:39282	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1080/13554794.2014.883270	24498851	1	1	1	0					0	0
unige:74686	2015	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1002/DC.23108	24550092	1	1	1	0					0	0
unige:41560	2015	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.1093/SCAN/NSU044	24603023	1	1	1	0					0	0
unige:40092	2015	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/CLR.12370	24666352	1	1	1	0					0	0
unige:75856	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/IWJ.12234	24684727	1	1	1	0					0	0
unige:55986	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.7785/TCRT.2012.500405	24694113	1	1	1	0					0	0
unige:74028	2015	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/CLR.12367	24713048	1	1	1	0					0	0
unige:82288	2015	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/CERCOR/BHU074	24735671	1	1	1	0					0	0
unige:48183	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1017/S1478951514000169	24762324	1	1	1	0					0	0
unige:95950	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1136/JNNP-2013-307146	24860137	1	1	1	0					0	0
unige:48291	2015	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/CERCOR/BHU097	24867393	1	1	1	0					0	0
unige:90197	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1177/1708538114537488	24879657	1	1	1	0					0	0
unige:76276	2015	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Article professionnel	10.1080/02699931.2014.922054	24885111	1	1	1	0					0	0
unige:37249	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1080/13607863.2014.920295	24903322	1	1	1	0					0	0
unige:111859	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/EURHEARTJ/EHU220	24908392	1	1	1	0					0	0
unige:45634	2015	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Article scientifique	10.1093/EURHEARTJ/EHU218	24917641	1	1	1	0					0	0
unige:79607	2015	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/CERCOR/BHU132	24947462	1	1	1	0					0	0
unige:89942	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1136/JNNP-2014-308154	24957322	1	1	1	0					0	0
unige:47561	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.PMRJ.2014.06.014	24998405	1	1	1	0					0	0
unige:90067	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S10578-014-0480-4	25008189	1	1	1	0					0	0
unige:40862	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S11136-014-0752-2	25008261	1	1	1	0					0	0
unige:84038	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/ECC.12222	25053521	1	1	1	0					0	0
unige:40413	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S10597-014-9768-X	25064089	1	1	1	0					0	0
unige:43656	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S00520-014-2341-X	25077805	1	1	1	0					0	0
unige:87995	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/IJPO.255	25088157	1	1	1	0					0	0
unige:40422	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S11307-014-0777-5	25096328	1	1	1	0					0	0
unige:48463	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.JALZ.2014.02.009	25130658	1	1	1	0					0	0
unige:42254	2015	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S00429-014-0878-6	25134684	1	1	1	0					0	0
unige:90064	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1177/0020764014547062	25145869	1	1	1	0					0	0
unige:77990	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1097/LGT.0000000000000051	25148227	1	1	0	0					0	0
unige:43812	2015	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S10548-014-0391-5	25148770	1	1	1	0					0	0
unige:48461	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.JALZ.2014.06.006	25150733	1	1	0	0					0	0
unige:48100	2015	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/TRI.12427	25159690	1	1	1	0					0	0
unige:48296	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.JALZ.2014.05.1755	25160043	1	1	1	0					0	0
