id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type
unige:167403	2022	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Article scientifique
unige:167405	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Thèse
unige:167406	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Thèse
unige:167407	2022	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Thèse
unige:167409	2022	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Chapitre de livre
unige:167424	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167443	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167461	2021	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	Article scientifique
unige:167462	2019	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167494	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	Article scientifique
unige:167495	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	Article scientifique
unige:167505	2021	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167507	2021	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	Article scientifique
unige:167551	2022	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Thèse
unige:167552	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167553	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167573	2022	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167574	2022	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167576	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167578	2022	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167579	2022	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:167594	2021	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167616	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre d'actes
unige:167617	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Présentation / Intervention
unige:167618	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Présentation / Intervention
unige:167646	2022	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167683	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:167767	2021	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
