773t	COUNT
ACS Catalysis	1
ACS Chemical Biology	1
ACS Sensors	1
ACS applied materials & interfaces	3
ACS applied nano materials	1
ACS measurement science au	1
ACS omega	2
ACS sensors	2
ALTEX	1
Accounts of chemical research	1
Acta Anaesthesiologica Belgica	1
Acta Dermato-Venereologica	1
Acta Neurochirurgica	2
Acta Ophthalmologica	1
Acta Oto-Laryngologica	1
Acta Paediatrica	2
Acta Psychiatrica Scandinavica	1
Acta neuropathologica communications	1
Acta ophthalmologica	7
Acta psychologica	1
Addiction	1
Addiction biology	1
Addictive behaviors	1
Advanced Biosystems	1
Advanced Materials	1
Advanced drug delivery reviews	1
Advanced materials	4
Advances in Experimental Medicine and Biology	1
Advances in simulation	1
Advances in telemedicine using personal mobile devices: One patient at a time	1
Aesthetic Plastic Surgery	1
Aesthetic Surgery Journal	3
Aging & Mental Health	1
Aging & mental health	1
Allergy	1
Alzheimer's & Dementia	1
Alzheimer's & dementia	1
Alzheimer's Research and Therapy	2
Alzheimer's and Dementia	1
Alzheimer's research & therapy	1
American Journal of Psychiatry	1
American Journal of Public Health	1
American Journal of Transplantation	4
American Psychologist	1
American journal of neuroradiology	1
American journal of respiratory and critical care medicine	1
American journal of respiratory cell and molecular biology	1
Analytical Chemistry	1
Analytical chemistry	4
Anatomical Record	1
Anesthesiology	1
Angewandte Chemie	5
Angewandte Chemie (International Edition)	1
Annales pharmaceutiques françaises	1
Annals of Emergency Medicine	2
Annals of Hematology	1
Annals of Plastic Surgery	1
Annals of internal medicine	1
Annals of physical and rehabilitation medicine	1
Annals of the American Thoracic Society	1
Annals of the New York Academy of Sciences	1
Annals of the Rheumatic Diseases	2
Antibiotics	1
Anticancer Research	1
Antimicrobial Agents and Chemotherapy	1
Aorta (Stamford)	1
Appetite	4
Archives de pédiatrie	1
Archives of Disease in Childhood	2
Archives of Gerontology and Geriatrics	1
Archives of Gynecology and Obstetrics	1
Archives of Women's Mental Health	1
Archives of bone and joint surgery	1
Archives of disease in childhood	2
Archives of disease in childhood. Fetal and neonatal edition	1
Archives of environmental contamination and toxicology	1
Archives of gerontology and geriatrics	1
Arteriosclerosis, thrombosis, and vascular biology	1
Arthritis Care and Research	1
Arthritis and Rheumatology	1
Assessment	1
Attention, perception & psychophysics	2
BJOG: an International Journal of Obstetrics and Gynaecology	1
BMC Cell Biology	1
BMC Endocrine Disorders	1
BMC Medical Research Methodology	1
BMC Medicine	1
BMC Public Health	1
BMC Pulmonary Medicine	1
BMC Women's Health	1
BMC genomics	1
BMC medicine	1
BMC pregnancy and childbirth	2
BMC public health	2
BMJ (Clinical Research Edition)	1
BMJ Open	2
BMJ global health	4
BMJ open	5
Behavioral medicine	1
Bilingualism	1
BioEssays	1
Bioanalysis	1
Biochemistry	1
Biochimica et biophysica acta. Biomembranes	1
Bioengineering	1
Bioethics	1
Bioinformatics	1
Biological psychology	1
Biology	2
Biology of Blood and Marrow Transplantation	1
Biology of blood and marrow transplantation	2
Biomaterial investigations in dentistry	1
