id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	DOI	PMID	AOU	PUBMED	DATA_PUBMED	OPENALEX	DOI_OPENALEX	ID_OPENALEX	is_oa	oa_status	date_openalex	PMID_OPENALEX
unige:74218	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.CLNU.2014.01.008	24485773	1	0	0	1	10.1016/J.CLNU.2014.01.008	W2025059392	False	closed	2015	0
unige:74671	2015	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.1597/13-272	24805871	1	0	0	1	10.1597/13-272	W2089513019	False	closed	2015	0
unige:54992	2015	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.JHEP.2014.09.018	25245893	1	0	0	1	10.1016/J.JHEP.2014.09.018	W1989074294	True	hybrid	2015	0
unige:74672	2015	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.1597/14-085	25275538	1	0	0	1	10.1597/14-085	W2145851361	False	closed	2015	0
unige:98743	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Article scientifique	10.1016/J.NEUROSCIENCE.2014.09.059	25316409	1	0	0	1	10.1016/J.NEUROSCIENCE.2014.09.059	W2073673228	True	hybrid	2015	0
unige:76344	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1515/JPEM-2014-0321	25332294	1	0	0	1	10.1515/JPEM-2014-0321	W2152999813	True	green	2015	0
unige:88214	2015	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1160/TH14-05-0466	25374339	1	0	0	1	10.1160/TH14-05-0466	W1995551387	True	green	2015	0
unige:73903	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/JTH.12793	25403550	1	0	0	1	10.1111/JTH.12793	W2119730233	True	hybrid	2015	0
unige:84320	2015	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/JSM.12757	25411084	1	0	0	1	10.1111/JSM.12757	W1962673114	True	green	2015	0
unige:76150	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/PAI.12317	25443975	1	0	0	1	10.1111/PAI.12317	W2019086596	False	closed	2015	0
unige:111924	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.ACRA.2014.10.008	25491739	1	0	0	1	10.1016/J.ACRA.2014.10.008	W43382572	False	closed	2015	0
unige:55985	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.WNEU.2014.12.021	25527878	1	0	0	1	10.1016/J.WNEU.2014.12.021	W1994070750	False	closed	2015	0
unige:76368	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.EJPN.2014.11.009	25532859	1	0	0	1	10.1016/J.EJPN.2014.11.009	W2149244169	False	closed	2015	0
unige:111922	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.LEGALMED.2014.12.005	25537625	1	0	0	1	10.1016/J.LEGALMED.2014.12.005	W2075956903	False	closed	2015	0
unige:76144	2015	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/APA.12902	25557474	1	0	0	1	10.1111/APA.12902	W2052135074	False	closed	2015	0
