856_domain	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
 CBI-BOOSTER.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
 DOI.ORG	3	1	1	0	0	1	0	0	0	0	1	1	0
0-WWW-NCBI-NLM-NIH-GOV.BRUM.BEDS.AC.UK	1	1	1	1	0	0	0	0	0	0	0	0	0
10.32474	0	0	0	0	0	0	0	0	0	0	0	0	0
10.4232	1	0	0	0	0	0	0	0	0	0	1	1	0
10.5255	3	0	0	0	0	0	0	0	0	0	3	3	0
10.5281	2	1	0	1	0	0	0	0	0	0	2	2	0
1995UNIDROITCAP.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
1NEWS.AZ	0	0	0	0	0	0	0	0	0	0	0	0	0
2023.SOMMETNUMERIQUE.CA	0	0	0	0	0	0	0	0	0	0	0	0	0
2CR2D.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
3U3D.EDPSCIENCES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AA.SPRINGER.DE	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAI.ORG	0	0	0	0	0	0	0	0	0	0	1	0	1
AAC.ASM.ORG	1	16	16	0	0	0	0	0	0	0	0	0	0
AACCADEMIA.IT	0	0	0	0	0	0	0	0	0	0	0	0	0
AACIJOURNAL.BIOMEDCENTRAL.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	0	9	4	2	4	0	0	0	0	0	1	1	0
AAIDDJOURNALS.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AAIHS.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AAN.SAGEPUB.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	0	0	0	0	0	0	0	0	0	0	5	4	1
AAP.ONLINELIBRARY.WILEY.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AAPM.ONLINELIBRARY.WILEY.COM	0	13	12	0	0	0	0	0	0	7	8	7	1
AAPSOPEN.SPRINGEROPEN.COM	1	1	1	0	0	0	0	0	0	0	1	1	0
AASLDPUBS.ONLINELIBRARY.WILEY.COM	0	3	3	1	0	0	0	0	0	0	0	0	0
AB.PENSOFT.NET	0	1	0	0	1	0	0	0	0	0	0	0	0
ABD-BVD.BE	0	0	0	0	0	0	0	0	0	0	0	0	0
ABE.REVUES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ABEBOOKS.COM	0	0	0	0	0	0	0	0	0	0	1	1	0
ABLF.BE	0	0	0	0	0	0	0	0	0	0	0	0	0
ABPN.ORG.BR	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	0	107	88	27	0	1	0	2	3	0	0	0	0
ACA.SCITATION.ORG	0	0	0	0	0	0	0	0	0	0	1	1	1
ACADEMIA.EDU	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	5	431	308	59	85	11	25	3	3	4	186	172	27
ACADEMICJOURNALS.ORG	0	1	0	0	1	0	0	0	0	0	0	0	0
ACADEMICRADIOLOGY.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
ACADEMIE-SCIENCES.FR	0	1	0	0	1	0	0	0	0	0	0	0	0
ACAMH.ONLINELIBRARY.WILEY.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ACC.SAGEPUB.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ACCELCONF.WEB.CERN.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOUNT.RIPS-IRSP.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOUNT.SWISSPSYCHOLOGYOPEN.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOUNT.WORLDWIDEWASTEJOURNAL.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ACELF.CA	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHILLEID.UNIGE.CH	0	1	1	0	0	0	0	0	0	0	0	0	0
ACLANTHOLOGY.ORG	0	5	5	0	0	0	0	0	0	0	2	2	0
ACLWEB.ORG	0	1	1	0	0	0	0	0	0	0	1	1	0
ACME-JOURNAL.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN.OXFORDJOURNALS.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP.COPERNICUS.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPJOURNALS.ORG	0	6	6	0	0	0	0	0	0	0	2	2	1
ACRH.REVUES.ORG	0	1	1	0	0	0	0	0	0	0	1	1	0
ACRJOURNALS.ONLINELIBRARY.WILEY.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
ACROLINX.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSJOURNALS.ONLINELIBRARY.WILEY.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTA-GASTROENTEROLOGICA.BE	0	1	0	1	0	0	0	0	0	0	0	0	0
ACTA.STRUCTURALICA.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTABP.PL	0	1	0	1	0	0	0	0	0	0	0	0	0
ACTANEUROCOMMS.BIOMEDCENTRAL.COM	0	2	1	1	0	0	0	0	0	0	1	1	0
ACTAORTHOP.ORG	0	2	2	0	0	0	0	0	0	0	0	0	0
ACTAORTHOPAEDICA.BE	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTIVITES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYIG.AMERICANANTHRO.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ADC.BMJ.COM	0	7	7	1	0	0	0	0	0	0	2	2	0
ADDICTIONSUISSE.CH	0	1	1	0	0	0	0	0	0	0	0	0	0
ADEB-ASSO.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
