856_domain	date	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
 CBI-BOOSTER.CH	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
 DOI.ORG	2019	1	1	1	0	0	1	0	0	0	0	0	0	0
 DOI.ORG	2021	1	0	0	0	0	0	0	0	0	0	1	1	0
 DOI.ORG	2022	1	0	0	0	0	0	0	0	0	0	0	0	0
0-WWW-NCBI-NLM-NIH-GOV.BRUM.BEDS.AC.UK	2021	1	1	1	1	0	0	0	0	0	0	0	0	0
10.32474	2021	0	0	0	0	0	0	0	0	0	0	0	0	0
10.4232	2019	1	0	0	0	0	0	0	0	0	0	1	1	0
10.5255	2019	3	0	0	0	0	0	0	0	0	0	3	3	0
10.5281	2018	1	0	0	0	0	0	0	0	0	0	1	1	0
10.5281	2021	1	1	0	1	0	0	0	0	0	0	1	1	0
1995UNIDROITCAP.ORG	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
1NEWS.AZ	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
2023.SOMMETNUMERIQUE.CA	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
2CR2D.CH	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
3U3D.EDPSCIENCES.ORG	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
AA.SPRINGER.DE	1997	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAI.ORG	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAI.ORG	2010	0	0	0	0	0	0	0	0	0	0	1	0	1
AAAI.ORG	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAI.ORG	2014	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1979	0	2	2	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1989	0	1	1	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1990	0	2	2	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1991	0	1	1	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1993	0	2	2	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1994	0	3	3	0	0	0	0	0	0	0	0	0	0
