856_filetype	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
0	1397	17785	12467	3225	1962	844	632	271	317	140	4707	4144	985
7Z	2	0	0	0	0	0	0	0	0	0	0	0	0
AVI	47	43	11	35	0	2	0	0	0	0	35	35	9
BMC DEVELOPMENTAL BIOLOGY	0	1	0	0	1	0	0	0	0	0	0	0	0
CONTENT	0	0	0	0	0	0	0	0	0	0	0	0	0
CSV	27	27	15	16	0	0	0	0	2	0	9	8	2
DOC	77	77	70	4	0	3	0	5	1	5	26	20	8
DOCX	1418	1394	1259	239	36	49	40	18	24	27	506	463	84
DTA	1	1	1	0	0	0	0	0	0	0	1	1	0
EPS	6	6	6	6	0	0	0	0	0	0	6	6	0
EPUB	0	0	0	0	0	0	0	0	0	0	0	0	0
FILE1	1	0	0	0	0	0	0	0	0	0	0	0	0
FILE2	1	0	0	0	0	0	0	0	0	0	0	0	0
FILE3	1	0	0	0	0	0	0	0	0	0	0	0	0
GIF	9	9	4	7	0	0	0	0	0	0	1	1	1
GZ	0	0	0	0	0	0	0	0	0	0	0	0	0
HTM	0	2	1	2	0	0	0	0	0	0	0	0	0
HTML	7	10	9	3	0	0	0	0	0	0	1	1	0
JPEG	18	16	14	5	0	3	0	2	0	0	5	5	1
JPG	601	561	436	199	5	13	1	12	0	1	145	142	27
JSON	1	1	1	0	0	0	0	0	0	0	1	1	1
M4V	2	1	1	0	0	0	0	0	0	0	0	0	0
MAT	1	1	1	0	0	0	0	0	0	0	1	0	1
MHTML	0	0	0	0	0	0	0	0	0	0	1	1	0
MOV	12	22	5	18	0	0	0	0	0	0	15	15	5
MP3	0	1	1	0	0	0	0	0	0	0	0	0	0
MP4	100	99	63	48	1	2	1	3	0	0	49	47	10
MPG	6	6	5	1	0	0	0	0	0	0	0	0	0
PDF	2694	46469	30269	8744	5775	2874	1612	1405	952	302	8112	7282	1388
PNG	38	42	35	12	2	3	0	5	0	1	10	9	1
PPT	8	7	2	5	0	0	0	0	0	0	1	1	0
PPTX	28	27	20	5	1	0	3	0	0	0	8	8	0
PS	0	0	0	0	0	0	0	0	0	0	0	0	0
RAR	5	0	0	0	0	0	0	0	0	0	0	0	0
RTF	1	2	2	0	0	0	0	0	0	0	1	0	1
SAV	2	2	2	0	0	0	0	0	0	0	2	2	0
SWF	1	0	0	0	0	0	0	0	0	0	1	1	0
TAR	1	0	0	0	0	0	0	0	0	0	0	0	0
TIF	78	71	44	54	2	0	0	0	0	0	48	46	3
TIFF	23	19	10	11	0	0	0	0	0	0	3	2	1
TXT	17	18	8	6	6	3	0	0	0	0	2	1	1
URL	3	2	2	0	0	0	0	0	0	0	2	2	2
WEBM	0	0	0	0	0	0	0	0	0	0	0	0	0
WEBP	4	4	4	0	0	0	0	0	0	0	0	0	0
WMV	3	3	0	3	0	0	0	0	0	0	0	0	0
XLS	35	29	20	15	0	2	0	0	0	0	14	13	2
XLSB	1	1	0	1	0	0	0	0	0	0	0	0	0
XLSM	0	0	0	0	0	0	0	0	0	0	0	0	0
XLSX	606	551	357	276	48	29	3	6	8	2	307	276	103
XML	7	7	6	2	0	6	0	0	0	0	2	2	0
XSPF	4	4	0	4	0	0	0	0	0	0	4	4	0
ZIP	273	240	189	77	14	3	2	2	0	0	96	87	18
