url_openalex	primary_location_id	primary_location_display_name	primary_location_issn_l	primary_location_is_oa	primary_location_version	primary_location_license	is_oa	oa_status	oa_url	doi_openalex	pmid_openalex	date_openalex	type	is_retracted	biblio_issue	biblio_first_page	biblio_volume	biblio_last_page	PMID	DOI	ID_OPENALEX	OPENALEX
https://openalex.org/W2897513125	https://openalex.org/S31768639	Age and ageing	0002-0729	True	publishedVersion	cc-by-nc	True	hybrid	https://academic.oup.com/ageing/article-pdf/48/1/16/28605038/afy169.pdf	https://doi.org/10.1093/ageing/afy169	https://pubmed.ncbi.nlm.nih.gov/31081853	2018	article	False	1	16	48	31	31081853	10.1093/AGEING/AFY169	W2897513125	1
https://openalex.org/W2024227324	https://openalex.org/S23181512	Nanoscale	2040-3364	True	publishedVersion	cc-by	True	hybrid	https://pubs.rsc.org/en/content/articlepdf/2015/nr/c4nr01600a	https://doi.org/10.1039/c4nr01600a	https://pubmed.ncbi.nlm.nih.gov/25707682	2015	article	False	11	4598	7	4810	25707682	10.1039/C4NR01600A	W2024227324	1
https://openalex.org/W3102157866	https://openalex.org/S190924190	Journal of physics. Condensed matter	0953-8984	True	publishedVersion	cc-by	True	hybrid	https://doi.org/10.1088/1361-648x/ab51ff	https://doi.org/10.1088/1361-648x/ab51ff	https://pubmed.ncbi.nlm.nih.gov/31658458	2020	article	False	16	165902	32	165902	31658458	10.1088/1361-648X/AB51FF	W3102157866	1
https://openalex.org/W2195190137	https://openalex.org/S110447773	Cell	0092-8674	True	publishedVersion	publisher-specific-oa	True	hybrid	http://www.cell.com/article/S0092867415015044/pdf	https://doi.org/10.1016/j.cell.2015.11.024	https://pubmed.ncbi.nlm.nih.gov/26686651	2015	article	False	7	1611	163	1627	26686651	10.1016/J.CELL.2015.11.024	W2195190137	1
https://openalex.org/W2759086237	https://openalex.org/S64187185	Nature communications	2041-1723	True	publishedVersion	cc-by	True	gold	https://www.nature.com/articles/s41467-018-03621-1.pdf	https://doi.org/10.1038/s41467-018-03621-1	https://pubmed.ncbi.nlm.nih.gov/29739930	2018	article	False	1		9		29739930	10.1038/S41467-018-03621-1	W2759086237	1
https://openalex.org/W2787171652	https://openalex.org/S199671312	Immunity	1074-7613	True	publishedVersion	publisher-specific-oa	True	hybrid	http://www.cell.com/article/S1074761318300323/pdf	https://doi.org/10.1016/j.immuni.2018.01.011	https://pubmed.ncbi.nlm.nih.gov/29562204	2018	article	False	2	380	48	395.e6	29562204	10.1016/J.IMMUNI.2018.01.011	W2787171652	1
https://openalex.org/W2587539025	https://openalex.org/S196734849	Scientific reports	2045-2322	True	publishedVersion	cc-by	True	gold	https://www.nature.com/articles/srep41802.pdf	https://doi.org/10.1038/srep41802	https://pubmed.ncbi.nlm.nih.gov/28691712	2017	article	False	1		7		28691712	10.1038/SREP41802	W2587539025	1
https://openalex.org/W1921254765	https://openalex.org/S105282323	Reports on progress in physics	0034-4885	False			True	green	https://arxiv.org/pdf/1504.04855	https://doi.org/10.1088/0034-4885/79/12/124201	https://pubmed.ncbi.nlm.nih.gov/27775925	2016	article	False	12	124201	79	124201	27775925	10.1088/0034-4885/79/12/124201	W1921254765	1
https://openalex.org/W2343657979	https://openalex.org/S181568219	European heart journal	0195-668X	True	publishedVersion		True	bronze	https://academic.oup.com/eurheartj/article-pdf/38/3/143/10238444/ehw149.pdf	https://doi.org/10.1093/eurheartj/ehw149	https://pubmed.ncbi.nlm.nih.gov/28158518	2016	article	False		ehw149		ehw149	28158518	10.1093/EURHEARTJ/EHW149	W2343657979	1
https://openalex.org/W2159923399	https://openalex.org/S1995308	Journal of neurosurgery	0022-3085	True	publishedVersion		True	green	https://doi.org/10.3171/2014.7.jns131644	https://doi.org/10.3171/2014.7.jns131644	https://pubmed.ncbi.nlm.nih.gov/25343186	2015	article	False	1	4	122	23	25343186	10.3171/2014.7.JNS131644	W2159923399	1
https://openalex.org/W2577520851	https://openalex.org/S2764702794	United European Gastroenterology journal	2050-6406	True	publishedVersion		True	bronze	https://journals.sagepub.com/doi/pdf/10.1177/2050640616684695	https://doi.org/10.1177/2050640616684695	https://pubmed.ncbi.nlm.nih.gov/28344786	2017	article	False	2	153	5	199	28344786	10.1177/2050640616684695	W2577520851	1
https://openalex.org/W2287109804	https://openalex.org/S132839637	Journal of the American Medical Directors Association	1525-8610	False			False	closed		https://doi.org/10.1016/j.jamda.2015.12.016	https://pubmed.ncbi.nlm.nih.gov/26805753	2016	article	False	3	188	17	192	26805753	10.1016/J.JAMDA.2015.12.016	W2287109804	1
