	ID_AOU	DATE_AOU	BIOMED_AOU	DISCIPLINE_CLINICAL_AOU	DISCIPLINE_BASIC_AOU	DISCIPLINE_BIOLOGY_AOU	DISCIPLINE_PHARMA_AOU	DISCIPLINE_AFFECTIVE_AOU	DISCIPLINE_DENTISTRY_AOU	DISCIPLINE_MEDICINE_GENERAL_AOU	DISCIPLINE_NEUROSCIENCES_AOU	DATA_AOU	DATA_TYPE_APPENDIXES_AOU	DATA_TYPE_DATA_SUPPLEMENTS_AOU	DATA_TYPE_SHARED_DATA_AOU	FUNDER_AOU	FNS_FUNDER_AOU	EU_FUNDER_AOU	DOC_TYPE_AOU	DOI	PMID	AOU	PUBMED	DATA_PUBMED	OPENALEX	ID_OPENALEX	IS_OA_OPENALEX	OA_STATUS_OPENALEX	DATE_OPENALEX	DATE_PUBMED	DATE	OA	id	BIOMED	date	pmid	773t	COUNT
0																					25037924	0	1	1.0	0					2015.0	2015.0	0	unige:39574	0	2015	25037924.0	Cerebral cortex	1
1																					26505722	0	1	0.0	0					2015.0	2015.0	0	unige:90058	0	2015	26505722.0	Plastic and reconstructive surgery	1
2																					27541954	0	1	1.0	0					2017.0	2017.0	0	unige:89981	0	2016	27541954.0	Journal of clinical monitoring and computing	1
3																					27715109	0	1	1.0	0					2016.0	2016.0	0	unige:150143	0	2016	27715109.0	Physical Review Letters	1
4																					28333232	0	1	1.0	0					2017.0	2017.0	0	unige:99803	0	2017	28333232.0	Journal of Antimicrobial Chemotherapy	1
5																					28674834	0	1	1.0	0					2017.0	2017.0	0	unige:99150	0	2017	28674834.0	Graefe's Archive for Clinical and Experimental Ophthalmology	1
6																					28686361	0	1	0.0	0					2016.0	2016.0	0	unige:115719	0	2016	28686361.0	Revue médicale suisse	1
7																					29549222	0	1	1.0	0					2018.0	2018.0	0	unige:155176	0	2018	29549222.0	Neurology	1
8																					29976182	0	1	1.0	0					2018.0	2018.0	0	unige:107796	0	2018	29976182.0	BMC Women's Health	1
9																					30003207	0	1	1.0	0					2019.0	2019.0	0	unige:113449	0	2019	30003207.0	Natural Product Reports	1
10																					31724114	0	1	0.0	0					2020.0	2020.0	0	unige:163364	0	2020	31724114.0	The international journal of cardiovascular imaging	1
11																					31766870	0	1	1.0	0					2020.0	2020.0	0	unige:163363	0	2020	31766870.0	Arteriosclerosis, thrombosis, and vascular biology	1
12																					32383902	0	1	0.0	0					2020.0	2020.0	0	unige:164161	0	2020	32383902.0	Physical review letters	1
13																					32439901	0	1	0.0	0					2020.0	2020.0	0	unige:139626	0	2020	32439901.0	Nature Communications	1
