Journal/Book	COUNT
A Life Course Perspective on Health Trajectories and Transitions	11
ACS Appl Bio Mater	1
ACS Appl Energy Mater	2
ACS Appl Mater Interfaces	6
ACS Catal	1
ACS Cent Sci	3
ACS Chem Biol	5
ACS Chem Neurosci	3
ACS Macro Lett	1
ACS Mater Lett	1
ACS Meas Sci Au	2
ACS Nano	9
ACS Nanosci Au	1
ACS Omega	8
ACS Org Inorg Au	2
ACS Photonics	1
ACS Sens	30
AIDS	6
AIDS Care	2
AIDS Res Hum Retroviruses	2
AIDS Res Ther	1
AJNR Am J Neuroradiol	7
AJOB Neurosci	1
ARYA Atheroscler	1
ASAIO J	2
ASN Neuro	1
ATS Sch	1
Acad Emerg Med	1
Acad Psychiatry	1
Acad Radiol	1
Acc Chem Res	8
Accid Anal Prev	1
Account Res	1
Acta Anaesthesiol Scand	4
Acta Biomater	3
Acta Biomed	1
Acta Biotheor	1
Acta Chir Belg	1
Acta Crystallogr A Found Adv	2
Acta Crystallogr B Struct Sci Cryst Eng Mater	2
Acta Crystallogr C Struct Chem	3
Acta Derm Venereol	1
Acta Diabetol	1
Acta Gastroenterol Belg	1
Acta Haematol	1
Acta Neurochir (Wien)	18
Acta Neurochir Suppl	1
Acta Neuropathol	2
Acta Oncol	2
Acta Ophthalmol	3
Acta Orthop	1
Acta Paediatr	3
Acta Physiol (Oxf)	1
Acta Psychiatr Scand	2
Acta Psychol (Amst)	6
Acta Radiol	3
Acta Radiol Open	2
Actas Esp Psiquiatr	1
Addict Behav	4
Addict Behav Rep	1
Addiction	2
Adv Clin Chem	1
Adv Colloid Interface Sci	1
Adv Drug Deliv Rev	2
Adv Exp Med Biol	7
Adv Life Course Res	3
Adv Mater	8
Adv Med Educ Pract	1
Adv Methods Pract Psychol Sci	1
Adv Nutr	1
Adv Parasitol	1
Adv Radiat Oncol	1
Adv Sci (Weinh)	1
Adv Skin Wound Care	1
Adv Ther	2
Adv Wound Care (New Rochelle)	3
Affect Sci	2
Afr J Paediatr Surg	1
Age Ageing	6
Ageing Res Rev	3
Aging (Albany NY)	2
Aging Clin Exp Res	15
Aging Ment Health	7
Alcohol Clin Exp Res	1
Aliment Pharmacol Ther	5
Allergo J	1
Allergol Int	1
Allergol Select	2
Allergy	4
Alzheimer Dis Assoc Disord	3
Alzheimers Dement	9
Alzheimers Dement (Amst)	2
Alzheimers Res Ther	5
Am Behav Sci	1
Am Heart J	3
Am J Bioeth	3
Am J Bot	2
Am J Cancer Res	1
Am J Cardiol	9
Am J Case Rep	3
Am J Clin Hypn	1
Am J Clin Nutr	3
Am J Clin Oncol	1
Am J Dent	1
Am J Disaster Med	1
Am J Emerg Med	1
Am J Epidemiol	1
Am J Gastroenterol	1
Am J Geriatr Psychiatry	2
Am J Health Syst Pharm	2
Am J Hematol	2
Am J Hum Biol	2
Am J Hum Genet	16
Am J Infect Control	3
Am J Kidney Dis	1
