PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DATA_PUBMED	DOI	PUBMED	AOU	id	OPENALEX	DOI_OPENALEX	ID_OPENALEX	is_oa	oa_status	date_openalex	PMID_OPENALEX
24385222	Sleep and emotional functions	Perogamvros L, Schwartz S.	Curr Top Behav Neurosci. 2015;25:411-31. doi: 10.1007/7854_2013_271.	Perogamvros L	Curr Top Behav Neurosci	2015	2014/01/04			1	10.1007/7854_2013_271	1	0		0					0	0
24448223	Do Inhibitory Control Demands Affect Event-Based Prospective Memory Performance in ADHD?	Altgassen M, Koch A, Kliegel M.	J Atten Disord. 2019 Jan;23(1):51-56. doi: 10.1177/1087054713518236. Epub 2014 Jan 21.	Altgassen M	J Atten Disord	2019	2014/01/23			1	10.1177/1087054713518236	1	0		0					0	0
24553738	Negative and distorted attributions towards child, self, and primary attachment figure among posttraumatically stressed mothers: what changes with Clinician Assisted Videofeedback Exposure Sessions (CAVES)	Schechter DS, Moser DA, Reliford A, McCaw JE, Coates SW, Turner JB, Serpa SR, Willheim E.	Child Psychiatry Hum Dev. 2015 Feb;46(1):10-20. doi: 10.1007/s10578-014-0447-5.	Schechter DS	Child Psychiatry Hum Dev	2015	2014/02/21	PMC4139484	NIHMS568871	1	10.1007/S10578-014-0447-5	1	0		0					0	0
24612083	Factor validity and reliability of the aberrant behavior checklist-community (ABC-C) in an Indian population with intellectual disability	Lehotkay R, Saraswathi Devi T, Raju MV, Bada PK, Nuti S, Kempf N, Carminati GG.	J Intellect Disabil Res. 2015 Mar;59(3):208-14. doi: 10.1111/jir.12128. Epub 2014 Mar 11.	Lehotkay R	J Intellect Disabil Res	2015	2014/03/12			1	10.1111/JIR.12128	1	0		0					0	0
24676279	The Swiss NEHAP: why it ended	Forbat J.	Health Promot Int. 2015 Sep;30(3):716-24. doi: 10.1093/heapro/dau014. Epub 2014 Mar 27.	Forbat J	Health Promot Int	2015	2014/03/29			1	10.1093/HEAPRO/DAU014	1	0		0					0	0
24696354	Anion transport with halogen bonds	Jentzsch AV, Matile S.	Top Curr Chem. 2015;358:205-39. doi: 10.1007/128_2014_541.	Jentzsch AV	Top Curr Chem	2015	2014/04/04			1	10.1007/128_2014_541	1	0		0					0	0
24793553	Karolinska Psychodynamic Profile for Sexual Disorders: KAPP-SD. A proposal for a psychodynamic rating scale for sexual disorders	Soldati L, Köhl J, Abraham G, Bianchi Demicheli F, Wilczek A.	Nord J Psychiatry. 2015 Jan;69(1):19-24. doi: 10.3109/08039488.2014.908948. Epub 2014 May 5.	Soldati L	Nord J Psychiatry	2015	2014/05/06			1	10.3109/08039488.2014.908948	1	0		0					0	0
24794920	Structural Brain Connectivity in School-Age Preterm Infants Provides Evidence for Impaired Networks Relevant for Higher Order Cognitive Skills and Social Cognition	Fischi-Gómez E, Vasung L, Meskaldji DE, Lazeyras F, Borradori-Tolsa C, Hagmann P, Barisnikov K, Thiran JP, Hüppi PS.	Cereb Cortex. 2015 Sep;25(9):2793-805. doi: 10.1093/cercor/bhu073. Epub 2014 May 2.	Fischi-Gómez E	Cereb Cortex	2015	2014/05/06			1	10.1093/CERCOR/BHU073	1	0		0					0	0
24801263	Clinical evaluation and surgical decision making for patients with lumbar discogenic pain and facet syndrome	Tessitore E, Molliqaj G, Schatlo B, Schaller K.	Eur J Radiol. 2015 May;84(5):765-70. doi: 10.1016/j.ejrad.2014.03.016. Epub 2014 Apr 4.	Tessitore E	Eur J Radiol	2015	2014/05/08			0	10.1016/J.EJRAD.2014.03.016	1	0		0					0	0
24910022	Use of imatinib in a patient with cutaneous vasculopathy in the context of von Recklinghausen disease/neurofibromatosis	Khelifa I, Saurat JH, Prins C.	Br J Dermatol. 2015 Jan;172(1):253-6. doi: 10.1111/bjd.13170. Epub 2014 Nov 12.	Khelifa I	Br J Dermatol	2015	2014/06/10			1	10.1111/BJD.13170	1	0		0					0	0
